,core,ligands
HAKCUR,Re,ligand6-0 ligand6-0 ligand6-0 ligand11-0 ligand11-0 ligand52-0
WASGUS,Pt,ligand282-0 ligand23638-0
RECNUJ,Pt,ligand472-0 ligand472-0 ligand4468-0
TILFAW,Ni,ligand0-0 ligand12181-0
BISXUA,Pt,ligand2367-0
KOHRII,Os,ligand0-0 ligand61-0 ligand61-0
GIDPIW,Cd,ligand8-0 ligand266-0 ligand2251-0
AMEBOL,Au,ligand0-0 ligand6303-0
UZELIV,Zn,ligand209-0 ligand17903-0
XEKGOJ,Ru,ligand16-0 ligand344-0 ligand344-0 ligand540-0
ANAVES,Ru,ligand0-0 ligand24-0 ligand588-0
GUZVAY,Ir,ligand191-0 ligand18459-0
HIDZEA,V,ligand55-0 ligand55-0 ligand136-0 ligand14720-0
DADXOW,Ni,ligand11031-0
SEQRAI,Cu,ligand126-0 ligand1231-0
PERPOU,Au,ligand28-0 ligand25001-0
ROKFUS,Au,ligand4792-0 ligand4792-0
MEDZIF,Pt,ligand12-0 ligand12-0 ligand8884-0
AXOTAK,Ni,ligand10297-0
VEVPOC,Pd,ligand7831-0 ligand7831-0
QAHWIH,Hg,ligand20-0 ligand20-0 ligand5060-0
BEPMIT,Pd,ligand0-0 ligand0-0 ligand4428-0
YIMXEB,Y,ligand12673-0 ligand12673-0 ligand12673-0
FIGGUY,Pd,ligand251-0 ligand34002-0
ADUGOY,Pd,ligand0-0 ligand5222-0 ligand13596-0
MOMHEC,Zr,ligand124-0 ligand124-0 ligand886-0 ligand886-0
XIXVOP,Hf,ligand0-0 ligand0-0 ligand0-0 ligand14-0 ligand7305-0
QETDOL,Au,ligand0-0 ligand24622-0
CIRPEZ,Pt,ligand115-0 ligand115-0 ligand30297-0 ligand30297-0
YUGCAH,Ni,ligand20-0 ligand35-0
NARGUM,Rh,ligand0-0 ligand864-0 ligand25088-0
IJEXIH,Pd,ligand0-0 ligand0-0 ligand9008-0 ligand9008-0
BICLOR,Ru,ligand10-0 ligand657-0 ligand657-0
MERQAB,Os,ligand0-0 ligand0-0 ligand282-0 ligand6618-0
TILXIX,Mo,ligand6-0 ligand482-0 ligand8592-0 ligand8592-0
BAMTEP,Zr,ligand36-0 ligand36-0 ligand36-0 ligand23761-0
EDIBAY,Re,ligand11-0 ligand11-0 ligand11-0 ligand20-0 ligand10210-0
JOWYAV,Nb,ligand0-0 ligand0-0 ligand0-0 ligand6-0 ligand6-0 ligand6-0 ligand3027-0
XABZAC,Pt,ligand117-0 ligand117-0 ligand20850-0
QOGBEU,Pt,ligand0-0 ligand0-0 ligand10991-0
QAMHET,Pd,ligand0-0 ligand0-0 ligand13475-0
XEKWIV,Ni,ligand124-0 ligand16602-0 ligand19953-0 ligand19953-0
WORKUJ,Zn,ligand0-0 ligand3414-0
HEDVIV,Y,ligand436-0 ligand436-0 ligand23501-0
EXEJAS,Mo,ligand0-0 ligand6-0 ligand6-0 ligand1825-0 ligand37841-0
XEQSIV,Ta,ligand0-0 ligand0-0 ligand61-0 ligand34860-0
DAYKOD,Co,ligand0-0 ligand0-0 ligand9724-0 ligand9724-0
OMADIP,Rh,ligand0-0 ligand191-0 ligand28230-0
NADRUF,Y,ligand22-0 ligand172-0 ligand19722-0
GILSIF,Zn,ligand8-0 ligand8-0 ligand79-0 ligand30263-0
XORTAB,Ir,ligand61-0 ligand344-0 ligand18231-0
VIXROJ,Mo,ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand4947-0
JAHTAO,Fe,ligand0-0 ligand0-0 ligand37459-0
JUVJAN,W,ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand3126-0 ligand3163-0
DUMNEG,Pt,ligand33037-0
MOPLEJ,Zn,ligand0-0 ligand17752-0
BOFDIM,Pd,ligand32437-0 ligand32437-0
FAHLUY,Mo,ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand12236-0
BOXLOS,Mn,ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand29-0
KEVHAV,Pd,ligand0-0 ligand73-0 ligand2683-0
IDUXIQ,Ni,ligand37331-0 ligand37331-0
QUNWUU,Re,ligand8-0 ligand11-0 ligand11-0 ligand11-0 ligand9174-0
NATXIQ,Pd,ligand4-0 ligand2882-0
SUCGEC,Os,ligand1-0 ligand1-0 ligand301-0 ligand301-0 ligand31493-0
UHEZEP,Cu,ligand29854-0 ligand29854-0
GENPAS,W,ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand12236-0
QARTAE,Ru,ligand0-0 ligand245-0 ligand996-0
RAHYAC,Ru,ligand0-0 ligand0-0 ligand24-0 ligand1319-0
NOCFOE,Ni,ligand20-0 ligand363-0
ICEWUJ,Zn,ligand131-0 ligand131-0 ligand209-0 ligand1107-0
WIDLOK,Re,ligand61-0 ligand764-0 ligand14238-0
SEBCUX,Mo,ligand0-0 ligand0-0 ligand0-0 ligand130-0 ligand1519-0
YIYBAK,Ni,ligand6-0 ligand864-0 ligand35491-0
VUGNES,Pd,ligand313-0 ligand33036-0
IMOJUQ,W,ligand55-0 ligand61-0 ligand1001-0 ligand15760-0
GIQPAB,Zn,ligand1567-0 ligand31135-0
UFICAQ,Pd,ligand0-0 ligand1318-0 ligand2472-0
QIFFET,Rh,ligand191-0 ligand1265-0
GENGAI,Pt,ligand344-0 ligand344-0 ligand1841-0
HANGAH,Ru,ligand0-0 ligand0-0 ligand32370-0 ligand32371-0
MIVTUI,Pt,ligand9234-0 ligand20694-0
AFUCIO,Ni,ligand0-0 ligand718-0
FIMWAA,Zn,ligand0-0 ligand32859-0
HIJDAH,Ru,ligand0-0 ligand59-0 ligand59-0 ligand59-0 ligand5558-0
VAPYOC,Pd,ligand28-0 ligand20499-0
ZOMFAL,Mo,ligand55-0 ligand55-0 ligand583-0 ligand2215-0
MIYWUQ,Pd,ligand20-0 ligand20-0 ligand4142-0 ligand13503-0
RIPZEY,Mo,ligand8-0 ligand55-0 ligand55-0 ligand6973-0
KIHLET,Au,ligand29607-0 ligand29607-0
INEWUV,Ni,ligand21924-0 ligand21924-0
UNIRAK,Co,ligand22-0 ligand28-0 ligand1525-0
YOJVOJ,Fe,ligand20-0 ligand20-0 ligand16247-0
SAGVUS,Ti,ligand0-0 ligand0-0 ligand34242-0
SUYHUR,Ni,ligand28813-0 ligand28814-0
WUCLAJ,Fe,ligand820-0 ligand820-0 ligand10584-0
MUBLIG,Zr,ligand22-0 ligand22-0 ligand1653-0 ligand4401-0
RALROP,Tc,ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand28-0 ligand28-0
MUSGAJ,V,ligand55-0 ligand55-0 ligand1611-0
MUJHOP,Zn,ligand266-0 ligand21583-0
UBEQEX,Re,ligand28-0 ligand36-0 ligand55-0 ligand957-0
JIFPUM,Ti,ligand0-0 ligand0-0 ligand0-0 ligand24476-0
JIHKAM,Pt,ligand17-0 ligand24433-0
BAYYAC,Rh,ligand22-0 ligand24505-1
WIYHOB,Rh,ligand17-0 ligand8725-0
AQOYEM,Pt,ligand0-0 ligand571-0 ligand955-0
EGUDAM,Pd,ligand12-0 ligand12-0 ligand33764-0 ligand33764-0
LIBGUA,Ni,ligand0-0 ligand26334-0
ABZTMO,Mo,ligand511-0 ligand511-0 ligand511-0
HANYIG,Ta,ligand36-0 ligand61-0 ligand23882-0
CUMBAP,Ni,ligand20-0 ligand20-0 ligand7923-0 ligand7923-0
CORNIG,Sc,ligand0-0 ligand0-0 ligand0-0 ligand15652-0
WIQLIU,Pd,ligand13844-0 ligand13844-0
VEYJOY,Au,ligand28-0 ligand5231-0
QIWSEV,Zn,ligand8-0 ligand12-0 ligand12-0 ligand3088-0
LANBIM,Ir,ligand52-0 ligand52-0 ligand23841-0 ligand23841-0
QOKMAE,Au,ligand39-0 ligand23219-0
ECOSAL,Co,ligand209-0 ligand1189-0
QAFNIX,Re,ligand11-0 ligand11-0 ligand11-0 ligand20-0 ligand4213-0
ZOKRAU,Rh,ligand0-0 ligand6-0 ligand6-0 ligand6-0 ligand115-0 ligand2505-0
BUPHOJ,Co,ligand8-0 ligand15897-0 ligand22271-0 ligand22272-0
ECIWEV,Pd,ligand8933-0 ligand8933-0 ligand8934-0
SISHEJ,Zr,ligand22-0 ligand22-0 ligand8563-0
EDOXAX,Re,ligand55-0 ligand5658-0 ligand25322-0
MAVPOR,Au,ligand28-0 ligand31-0
IDEYIC,Pt,ligand20-0 ligand20-0 ligand20-0 ligand20-0 ligand441-0 ligand913-0
QUGWUN,Ru,ligand0-0 ligand11-0 ligand11-0 ligand52-0 ligand25022-0
HEYREK,Mo,ligand10-0 ligand11-0 ligand11-0 ligand11-0 ligand8141-0
RIRWUK,Ti,ligand0-0 ligand22-0 ligand5288-0
WUQLEB,Ni,ligand20-0 ligand3155-0
UQIJOV,Rh,ligand0-0 ligand0-0 ligand0-0 ligand0-0 ligand7615-0
CEHDUR,Hg,ligand0-0 ligand0-0 ligand34357-0
BAVVUS,Zn,ligand8-0 ligand7556-0
IJESUM,Zr,ligand0-0 ligand0-0 ligand0-0 ligand10929-0
UHEJAS,Zr,ligand0-0 ligand0-0 ligand10582-0 ligand10582-0
NELLUN,Co,ligand47-0 ligand47-0 ligand5481-0
ZIHRUG,Re,ligand11-0 ligand5382-0
IFIRIZ,Zn,ligand136-0 ligand14736-0
RATPOS,Rh,ligand191-0 ligand9899-0
ROSJUH,Ni,ligand6127-0 ligand6127-0
IWOFEH,Ru,ligand0-0 ligand0-0 ligand11-0 ligand91-0 ligand91-0 ligand341-0
BUJLOJ,Zn,ligand0-0 ligand0-0 ligand19314-0
KUYGAN,Zn,ligand12-0 ligand12-0 ligand447-0
MIRDOH,Co,ligand198-0 ligand198-0 ligand1220-0 ligand1220-0
PEZTEV,Au,ligand8150-0 ligand9420-0
MIVQIT,Fe,ligand11-0 ligand11-0 ligand957-0 ligand1251-0
BUCNUJ,Hg,ligand1868-0 ligand1868-0
CEKJEJ,Hg,ligand12-0 ligand12-0 ligand18937-0
FOWMAH,Ru,ligand0-0 ligand24-0 ligand11592-0
KOJSAG,Au,ligand0-0 ligand38279-0
AFAPIG,Pt,ligand0-0 ligand0-0 ligand346-0
ZEQJAG,Ru,ligand0-0 ligand0-0 ligand11-0 ligand91-0 ligand571-0 ligand571-0
SOBZIW,Au,ligand20-0 ligand30505-0
DACCUG,Rh,ligand11-0 ligand28-0 ligand28-0 ligand1018-0
FEJLOZ,Pd,ligand0-0 ligand0-0 ligand25050-0
MUCHOK,Fe,ligand47-0 ligand2443-0
TOJYUM,Mo,ligand55-0 ligand16466-0 ligand16467-0
HORCUP,Pt,ligand0-0 ligand0-0 ligand29817-0
WAQDEY,Au,ligand0-0 ligand2848-0
DIPMAT,Cd,ligand20-0 ligand20-0 ligand13045-0
GUHSUX,Re,ligand55-0 ligand221-0 ligand1880-0 ligand17699-0
WOYQIM,Zn,ligand0-0 ligand0-0 ligand19865-0
YEGXOY,Ag,ligand238-0 ligand6734-0 ligand6734-0
CUKVAI,Ru,ligand0-0 ligand29-0 ligand18405-0
XUJDUC,Cd,ligand0-0 ligand0-0 ligand25940-0
ZUJHIX,Ni,ligand11339-0 ligand11339-0
QUNBOT,Cd,ligand0-0 ligand0-0 ligand8831-0
BEHHAZ,Ni,ligand0-0 ligand12894-0
UNEDEY,Ru,ligand0-0 ligand24-0 ligand34321-0
LELPOI,Hg,ligand32775-0 ligand32775-0
IKECIM,Pt,ligand0-0 ligand0-0 ligand16906-0
UZIVUX,Ni,ligand10-0 ligand8040-0 ligand8040-0
FEKZUQ,Zr,ligand20-0 ligand22-0 ligand22-0 ligand864-0
OTUQIG,Zn,ligand12-0 ligand12-0 ligand16107-0 ligand16107-0
WUDWUQ,Fe,ligand30-0 ligand30-0 ligand31572-0
KUMDEE,Zn,ligand108-0 ligand16285-0 ligand16285-0
OBELEP,Rh,ligand11-0 ligand12147-0
QIGRED,Co,ligand115-0 ligand115-0 ligand115-0 ligand1554-0
FEDYUI,Co,ligand3700-0 ligand24165-0
FOPSIN,Cd,ligand0-0 ligand0-0 ligand25415-0
RAQTUB,Fe,ligand11-0 ligand22-0 ligand28-0 ligand641-0
JOZRAU,Cu,ligand0-0 ligand29159-0
FESTAZ,Rh,ligand0-0 ligand11-0 ligand10248-0
TEQGIH,Cu,ligand11998-0 ligand11998-0
LEVVUE,Cd,ligand20-0 ligand202-0
ZAYDIO,Pd,ligand90-0 ligand10007-0
AKONAQ,Cu,ligand777-0 ligand990-0
TACCOS,Zn,ligand6839-0 ligand6839-0 ligand7355-0 ligand7355-0
IFIWUP,W,ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand23266-0
PAWKOQ,Cu,ligand0-0 ligand668-0 ligand668-0
VILZUL,Pt,ligand0-0 ligand83-0 ligand301-0
SOBTEL,Fe,ligand11406-0 ligand11406-0
MAPJAO,Ta,ligand22-0 ligand22-0 ligand52-0 ligand26137-0
RAKRON,Rh,ligand4759-0 ligand32617-0
QAHPAR,Ag,ligand19382-0 ligand19382-0
PIGYUB,Pd,ligand0-0 ligand0-0 ligand37425-0
QOXGOZ,Au,ligand0-0 ligand17297-0
JUTNUJ,Ni,ligand0-0 ligand0-0 ligand1161-0
ABATIK,Pd,ligand28-0 ligand27947-0
ASADAC,Pt,ligand12-0 ligand12-0 ligand26072-0 ligand26072-0
SOKSAN,V,ligand55-0 ligand124-0 ligand124-0 ligand124-0 ligand338-0 ligand338-0
ZIDFIF,Ru,ligand0-0 ligand228-0 ligand1568-0
FUNROW,Pd,ligand10-0 ligand36-0 ligand59-0
RECKET,Ni,ligand5056-0
GITQEF,Ir,ligand6-0 ligand20-0 ligand61-0 ligand35218-0
GIQGAO,Zr,ligand301-0 ligand2841-0 ligand5907-0 ligand22741-0
UQUZOX,Ru,ligand0-0 ligand24-0 ligand3820-0
NAPCAI,Ti,ligand2088-0 ligand4140-0
NONVUH,Zr,ligand0-0 ligand0-0 ligand21724-0
KIQQUA,Zn,ligand0-0 ligand0-0 ligand31017-0
EQEPEX,Ti,ligand0-0 ligand61-0 ligand25703-0
PZRMSI,Zr,ligand22-0 ligand22-0 ligand472-0 ligand3001-0
ASULUY,Ag,ligand9970-0
VUDKEM,Cd,ligand8-0 ligand8-0 ligand60-0 ligand13872-0
LAPMEV,Pt,ligand0-0 ligand8778-0
WACDAF,Mn,ligand0-0 ligand1356-0 ligand1356-0
LIJDUG,Re,ligand11-0 ligand11-0 ligand11-0 ligand59-0 ligand6882-0
PEFSEB,Ti,ligand0-0 ligand0-0 ligand13997-0 ligand13997-0
YILKOW,Ru,ligand0-0 ligand61-0 ligand36490-0
GUFDUG,Re,ligand55-0 ligand13182-0
PECKOX,Mo,ligand55-0 ligand56-0 ligand14400-0
DUKDAR,Ru,ligand0-0 ligand24-0 ligand1037-0
CALRUD,Pd,ligand0-0 ligand13208-0
FEQLIA,Ni,ligand12621-0 ligand18826-0
WIHMIK,Zn,ligand8-0 ligand135-0 ligand9028-0
XIVMUL,Pt,ligand0-0 ligand0-0 ligand32602-0 ligand32602-0
COPQEE,Co,ligand0-0 ligand1220-0 ligand1220-0 ligand3025-0
DAQHAI,Fe,ligand0-0 ligand0-0 ligand14559-0
KIMCOC,Pd,ligand1496-0 ligand2736-0
TAWNEK,Cr,ligand11-0 ligand11-0 ligand11-0 ligand7666-0 ligand7666-0 ligand7666-0
LIRCIY,Zr,ligand68-0 ligand68-0 ligand68-0 ligand1805-0
DILDOS,Ni,ligand362-0 ligand9916-0
WOBQOV,Ir,ligand484-0 ligand484-0 ligand6744-0
JENSOK,Fe,ligand11-0 ligand11-0 ligand11-0 ligand3245-0
QURKAS,Pt,ligand0-0 ligand0-0 ligand0-0 ligand26213-0
XOVFOD,Pt,ligand888-0 ligand1371-0
IVEFAS,Ru,ligand0-0 ligand0-0 ligand0-0 ligand4703-0
KIXSOA,Mn,ligand11-0 ligand11-0 ligand11-0 ligand20-0 ligand15953-0
MIBBIK,Pt,ligand20-0 ligand20-0 ligand20-0 ligand20-0 ligand344-0 ligand344-0
EPOWEM,Au,ligand11-0 ligand126-0
EVUCIH,Au,ligand0-0 ligand5207-0
GUTCUV,Au,ligand301-0 ligand1467-0
OGETOK,Pt,ligand0-0 ligand0-0 ligand571-0 ligand7501-0
XAHJUL,Re,ligand0-0 ligand0-0 ligand0-0 ligand3229-0 ligand25853-0
AXOTOW,Rh,ligand11-0 ligand5311-0
YICXIS,Y,ligand107-0 ligand107-0 ligand29012-0 ligand32801-0
IQIKAV,Ru,ligand0-0 ligand24-0 ligand13256-0
OQIPIO,Ag,ligand266-0 ligand8545-0 ligand8545-0
ROLCED,Ru,ligand90-0 ligand90-0 ligand20005-0
COSTEL,Ru,ligand29-0 ligand1774-0 ligand3377-0
RAMSUV,Ru,ligand0-0 ligand16-0 ligand29261-0
QENYOY,Zr,ligand0-0 ligand0-0 ligand35751-0
UHEFUL,Au,ligand12743-0
YUGCOT,Ru,ligand0-0 ligand22-0 ligand18717-0
RIWZEG,Ru,ligand0-0 ligand28-0 ligand52-0 ligand9959-0
