,cluster,set_median_graph_index,set_median_graph_pattern_id
37,37,579,(w5-gp(w5-gp(w5-gp(w11-gp(w12-gp(w7-gp(w3-gp(w14-gp(w1-gp55-tp3-num1)-tp9-num1)-tp12-num1)-tp15-num1)-tp3-num1)-tp9-num2)-tp6-num1)-tp6-num1)-tp658-num1)
38,38,1452,(w1-gp(w12-gp(w15-gp(w14-gp(w7-gp(w13-gp(w12-gp(w7-gp(w12-gp(w12-gp(w1-gp55-tp200-num1)-tp3-num1)-tp3-num1)-tp3-num1)-tp9-num1)-tp12-num1)-tp9-num1)-tp6-num2)-tp6-num1)-tp6-num2)-tp6-num1)
39,39,755,(w9-gp(w10-gp(w8-gp(w11-gp(w10-gp(w3-gp(w3-gp(w14-gp(w1-gp55-tp3-num1)-tp9-num1)-tp36-num1)-tp3-num1)-tp3-num1)-tp9-num2)-tp6-num1)-tp6-num2)-tp5230-num1)
40,40,452,(w3-gp(w4-gp(w15-gp(w13-gp(w12-gp(w1-gp(w1-gp(w1-gp(w1-gp55-tp13-num1)-tp3-num1)-tp3-num1)-tp9-num1)-tp9-num2)-tp0-num1)-tp6-num2)-tp6-num1)-tp24-num1)
41,41,1345,(w7-gp(w5-gp(w9-gp(w1-gp(w12-gp(w1-gp(w1-gp(w1-gp(w1-gp(w1-gp55-tp13-num1)-tp3-num1)-tp3-num1)-tp3-num1)-tp9-num1)-tp19-num1)-tp6-num1)-tp6-num1)-tp24-num1)-tp6-num1)
42,42,422,(w2-gp(w15-gp(w14-gp(w3-gp(w9-gp(w4-gp(w3-gp(w14-gp(w1-gp55-tp3-num1)-tp9-num1)-tp1085-num1)-tp3-num1)-tp3-num1)-tp9-num1)-tp6-num1)-tp6-num1)-tp6-num1)
43,43,1714,(w15-gp(w14-gp(w10-gp(w12-gp(w14-gp(w7-gp(w6-gp(w10-gp(w3-gp(w14-gp(w1-gp55-tp3-num1)-tp9-num1)-tp68-num1)-tp3-num1)-tp3-num1)-tp9-num2)-tp6-num2)-tp6-num1)-tp17-num1)-tp6-num1)-tp6-num1)
44,44,1895,(w6-gp(w13-gp(w2-gp(w14-gp(w3-gp(w15-gp(w2-gp(w14-gp(w3-gp(w14-gp(w1-gp55-tp3-num1)-tp9-num1)-tp0-num1)-tp3-num1)-tp3-num1)-tp15-num1)-tp6-num2)-tp6-num1)-tp6-num2)-tp6-num1)-tp6-num2)
45,45,123,(w10-gp(w8-gp(w4-gp(w13-gp(w12-gp(w1-gp(w1-gp(w1-gp(w1-gp55-tp13-num1)-tp3-num1)-tp3-num1)-tp9-num1)-tp9-num2)-tp68-num1)-tp6-num2)-tp6-num1)-tp24-num1)
46,46,472,(w3-gp(w9-gp(w10-gp(w11-gp(w12-gp(w7-gp(w3-gp(w14-gp(w1-gp55-tp3-num1)-tp9-num1)-tp12-num1)-tp15-num1)-tp3-num1)-tp6-num1)-tp9-num1)-tp6-num1)-tp17-num1)
47,47,913,(w11-gp(w5-gp(w9-gp(w1-gp(w12-gp(w1-gp(w1-gp(w1-gp(w1-gp(w1-gp55-tp13-num1)-tp3-num1)-tp3-num1)-tp3-num1)-tp9-num1)-tp19-num1)-tp6-num1)-tp6-num1)-tp6-num1)-tp6-num1)
48,48,364,(w15-gp(w5-gp(w14-gp(w2-gp(w6-gp(w15-gp(w3-gp(w14-gp(w1-gp55-tp3-num1)-tp9-num1)-tp458-num1)-tp15-num1)-tp3-num1)-tp3-num1)-tp6-num1)-tp6-num1)-tp1346-num1)
49,49,1453,(w1-gp(w12-gp(w15-gp(w14-gp(w7-gp(w13-gp(w12-gp(w7-gp(w12-gp(w12-gp(w1-gp55-tp200-num1)-tp3-num1)-tp3-num1)-tp3-num1)-tp9-num1)-tp12-num1)-tp9-num1)-tp6-num2)-tp6-num1)-tp6-num2)-tp6-num2)
50,50,1768,(w2-gp(w15-gp(w7-gp(w10-gp(w2-gp(w11-gp(w10-gp(w3-gp(w3-gp(w14-gp(w1-gp55-tp3-num1)-tp9-num1)-tp36-num1)-tp3-num1)-tp3-num1)-tp6-num2)-tp6-num1)-tp24-num1)-tp6-num1)-tp17-num1)-tp24-num1)
51,51,1743,(w2-gp(w10-gp(w1-gp(w1-gp(w11-gp(w10-gp(w10-gp(w3-gp(w3-gp(w14-gp(w1-gp55-tp3-num1)-tp9-num1)-tp36-num1)-tp3-num1)-tp15-num1)-tp3-num1)-tp6-num1)-tp6-num1)-tp5230-num1)-tp6-num1)-tp9-num1)
52,52,907,(w11-gp(w5-gp(w5-gp(w5-gp(w11-gp(w12-gp(w7-gp(w3-gp(w14-gp(w1-gp55-tp3-num1)-tp9-num1)-tp12-num1)-tp15-num1)-tp3-num1)-tp9-num2)-tp6-num1)-tp6-num1)-tp6-num1)-tp198-num1)
53,53,446,(w3-gp(w10-gp(w15-gp(w13-gp(w12-gp(w7-gp(w12-gp(w12-gp(w1-gp55-tp200-num1)-tp3-num1)-tp3-num1)-tp3-num1)-tp9-num1)-tp0-num1)-tp6-num1)-tp6-num1)-tp24-num1)
54,54,1176,(w3-gp(w6-gp(w10-gp(w3-gp(w15-gp(w2-gp(w14-gp(w3-gp(w14-gp(w1-gp55-tp3-num1)-tp9-num1)-tp0-num1)-tp3-num1)-tp3-num1)-tp9-num2)-tp6-num2)-tp6-num1)-tp6-num2)-tp2355-num1)
55,55,92,(w10-gp(w11-gp(w11-gp(w13-gp(w12-gp(w7-gp(w12-gp(w12-gp(w1-gp55-tp200-num1)-tp3-num1)-tp3-num1)-tp3-num1)-tp9-num1)-tp19-num1)-tp6-num2)-tp6-num4)-tp6-num2)
56,56,1372,(w8-gp(w14-gp(w14-gp(w15-gp(w14-gp(w2-gp(w3-gp(w3-gp(w14-gp(w1-gp55-tp3-num1)-tp9-num1)-tp19-num1)-tp3-num1)-tp3-num1)-tp15-num1)-tp6-num2)-tp6-num1)-tp6-num1)-tp9-num1)
57,57,1381,(w8-gp(w4-gp(w4-gp(w1-gp(w1-gp(w1-gp(w1-gp(w1-gp(w1-gp(w1-gp55-tp13-num1)-tp3-num1)-tp3-num1)-tp3-num1)-tp3-num1)-tp6-num1)-tp9-num1)-tp6-num1)-tp6-num1)-tp9-num1)
58,58,1653,(w13-gp(w3-gp(w5-gp(w2-gp(w4-gp(w7-gp(w6-gp(w10-gp(w3-gp(w14-gp(w1-gp55-tp3-num1)-tp9-num1)-tp68-num1)-tp3-num1)-tp3-num1)-tp3-num1)-tp6-num2)-tp6-num1)-tp6-num2)-tp6-num1)-tp17-num1)
59,59,215,(w12-gp(w15-gp(w12-gp(w13-gp(w12-gp(w7-gp(w12-gp(w12-gp(w1-gp55-tp200-num1)-tp3-num1)-tp3-num1)-tp3-num1)-tp9-num1)-tp9-num2)-tp6-num2)-tp6-num1)-tp6-num1)
60,60,1113,(w15-gp(w9-gp(w8-gp(w6-gp(w15-gp(w12-gp(w7-gp(w3-gp(w14-gp(w1-gp55-tp3-num1)-tp9-num1)-tp12-num1)-tp3-num1)-tp3-num1)-tp9-num2)-tp9-num1)-tp6-num1)-tp6-num2)-tp6-num2)
61,61,1042,(w14-gp(w15-gp(w14-gp(w6-gp(w15-gp(w1-gp(w9-gp(w14-gp(w14-gp(w1-gp55-tp3-num1)-tp3-num1)-tp64-num1)-tp3-num1)-tp9-num1)-tp12-num1)-tp9-num1)-tp6-num1)-tp6-num1)-tp17-num1)
62,62,153,(w11-gp(w14-gp(w2-gp(w14-gp(w12-gp(w7-gp(w3-gp(w14-gp(w1-gp55-tp3-num1)-tp9-num1)-tp12-num1)-tp3-num1)-tp6-num1)-tp3-num1)-tp9-num1)-tp6-num1)-tp3388-num1)
63,63,587,(w6-gp(w10-gp(w3-gp(w15-gp(w2-gp(w14-gp(w3-gp(w14-gp(w1-gp55-tp3-num1)-tp9-num1)-tp0-num1)-tp3-num1)-tp3-num1)-tp9-num2)-tp6-num2)-tp6-num1)-tp1353-num1)
64,64,1077,(w15-gp(w11-gp(w14-gp(w2-gp(w14-gp(w12-gp(w7-gp(w3-gp(w14-gp(w1-gp55-tp3-num1)-tp9-num1)-tp12-num1)-tp3-num1)-tp6-num1)-tp3-num1)-tp9-num1)-tp6-num1)-tp6-num1)-tp6-num1)
65,65,1544,(w10-gp(w7-gp(w3-gp(w8-gp(w5-gp(w15-gp(w12-gp(w7-gp(w3-gp(w14-gp(w1-gp55-tp3-num1)-tp9-num1)-tp12-num1)-tp3-num1)-tp3-num1)-tp3-num1)-tp6-num2)-tp6-num1)-tp6-num2)-tp6-num1)-tp6-num2)
66,66,1629,(w12-gp(w7-gp(w11-gp(w9-gp(w11-gp(w12-gp(w1-gp(w1-gp(w1-gp(w1-gp(w1-gp55-tp13-num1)-tp3-num1)-tp3-num1)-tp3-num1)-tp9-num1)-tp9-num2)-tp9-num1)-tp6-num2)-tp6-num1)-tp9-num1)-tp12-num1)
67,67,1734,(w15-gp(w8-gp(w9-gp(w10-gp(w8-gp(w11-gp(w10-gp(w3-gp(w3-gp(w14-gp(w1-gp55-tp3-num1)-tp9-num1)-tp36-num1)-tp3-num1)-tp3-num1)-tp9-num2)-tp6-num1)-tp6-num2)-tp6-num1)-tp9-num1)-tp6-num2)
68,68,380,(w2-gp(w10-gp(w6-gp(w14-gp(w6-gp(w10-gp(w3-gp(w14-gp(w1-gp55-tp3-num1)-tp9-num1)-tp68-num1)-tp3-num1)-tp64-num1)-tp3-num1)-tp6-num2)-tp6-num1)-tp6-num1)
69,69,4,(w1-gp(w1-gp(w11-gp(w10-gp(w10-gp(w3-gp(w3-gp(w14-gp(w1-gp55-tp3-num1)-tp9-num1)-tp36-num1)-tp3-num1)-tp15-num1)-tp3-num1)-tp6-num1)-tp6-num1)-tp6-num1)
70,70,799,(w1-gp(w12-gp(w5-gp(w4-gp(w11-gp(w10-gp(w3-gp(w3-gp(w14-gp(w1-gp55-tp3-num1)-tp9-num1)-tp36-num1)-tp3-num1)-tp3-num1)-tp3-num1)-tp6-num1)-tp6-num1)-tp6-num1)-tp9-num1)
71,71,1069,(w15-gp(w1-gp(w1-gp(w6-gp(w12-gp(w1-gp(w1-gp(w1-gp(w1-gp(w1-gp55-tp13-num1)-tp3-num1)-tp3-num1)-tp3-num1)-tp9-num1)-tp12-num1)-tp9-num1)-tp6-num1)-tp6-num1)-tp6-num1)
72,72,1922,(w7-gp(w14-gp(w2-gp(w13-gp(w6-gp(w15-gp(w12-gp(w7-gp(w3-gp(w14-gp(w1-gp55-tp3-num1)-tp9-num1)-tp12-num1)-tp3-num1)-tp3-num1)-tp9-num2)-tp6-num3)-tp6-num1)-tp6-num1)-tp9-num1)-tp6-num2)
73,73,1688,(w14-gp(w3-gp(w6-gp(w10-gp(w3-gp(w15-gp(w2-gp(w14-gp(w3-gp(w14-gp(w1-gp55-tp3-num1)-tp9-num1)-tp0-num1)-tp3-num1)-tp3-num1)-tp9-num2)-tp6-num2)-tp6-num1)-tp6-num2)-tp6-num1)-tp658-num1)
74,74,1579,(w11-gp(w6-gp(w2-gp(w4-gp(w3-gp(w11-gp(w12-gp(w7-gp(w3-gp(w14-gp(w1-gp55-tp3-num1)-tp9-num1)-tp12-num1)-tp15-num1)-tp3-num1)-tp3-num1)-tp6-num1)-tp6-num1)-tp6-num1)-tp9-num1)-tp6-num1)
75,75,1427,(w9-gp(w12-gp(w6-gp(w4-gp(w15-gp(w2-gp(w14-gp(w3-gp(w14-gp(w1-gp55-tp3-num1)-tp9-num1)-tp0-num1)-tp3-num1)-tp3-num1)-tp3-num1)-tp6-num2)-tp6-num1)-tp6-num1)-tp9-num1)
76,76,992,(w13-gp(w2-gp(w14-gp(w3-gp(w15-gp(w2-gp(w14-gp(w3-gp(w14-gp(w1-gp55-tp3-num1)-tp9-num1)-tp0-num1)-tp3-num1)-tp3-num1)-tp15-num1)-tp6-num2)-tp6-num1)-tp6-num2)-tp6-num2)
77,77,1355,(w8-gp(w10-gp(w1-gp(w11-gp(w10-gp(w10-gp(w3-gp(w3-gp(w14-gp(w1-gp55-tp3-num1)-tp9-num1)-tp36-num1)-tp3-num1)-tp15-num1)-tp3-num1)-tp6-num1)-tp6-num2)-tp6-num1)-tp4838-num1)
78,78,80,(w10-gp(w1-gp(w11-gp(w10-gp(w10-gp(w3-gp(w3-gp(w14-gp(w1-gp55-tp3-num1)-tp9-num1)-tp36-num1)-tp3-num1)-tp15-num1)-tp3-num1)-tp6-num1)-tp6-num2)-tp6-num1)
79,79,896,(w11-gp(w3-gp(w10-gp(w15-gp(w13-gp(w12-gp(w7-gp(w12-gp(w12-gp(w1-gp55-tp200-num1)-tp3-num1)-tp3-num1)-tp3-num1)-tp9-num1)-tp0-num1)-tp6-num1)-tp6-num1)-tp24-num1)-tp6-num2)
80,80,94,(w10-gp(w12-gp(w14-gp(w7-gp(w6-gp(w10-gp(w3-gp(w14-gp(w1-gp55-tp3-num1)-tp9-num1)-tp68-num1)-tp3-num1)-tp3-num1)-tp9-num2)-tp6-num2)-tp6-num1)-tp105-num1)
81,81,558,(w5-gp(w2-gp(w4-gp(w7-gp(w6-gp(w10-gp(w3-gp(w14-gp(w1-gp55-tp3-num1)-tp9-num1)-tp68-num1)-tp3-num1)-tp3-num1)-tp3-num1)-tp6-num2)-tp6-num1)-tp3347-num1)
82,82,1682,(w14-gp(w15-gp(w9-gp(w6-gp(w4-gp(w13-gp(w12-gp(w7-gp(w12-gp(w12-gp(w1-gp55-tp200-num1)-tp3-num1)-tp3-num1)-tp3-num1)-tp9-num1)-tp3-num1)-tp9-num1)-tp6-num1)-tp6-num2)-tp6-num1)-tp0-num1)
83,83,29,(w1-gp(w12-gp(w1-gp(w10-gp(w10-gp(w3-gp(w3-gp(w14-gp(w1-gp55-tp3-num1)-tp9-num1)-tp36-num1)-tp3-num1)-tp15-num1)-tp6-num1)-tp9-num1)-tp24-num1)-tp6-num1)
84,84,295,(w13-gp(w3-gp(w15-gp(w11-gp(w12-gp(w7-gp(w12-gp(w12-gp(w1-gp55-tp200-num1)-tp3-num1)-tp6-num1)-tp6-num1)-tp3-num1)-tp9-num2)-tp24-num1)-tp3-num1)-tp6-num1)
85,85,556,(w5-gp(w2-gp(w4-gp(w7-gp(w6-gp(w10-gp(w3-gp(w14-gp(w1-gp55-tp3-num1)-tp9-num1)-tp68-num1)-tp3-num1)-tp3-num1)-tp3-num1)-tp6-num2)-tp6-num1)-tp2780-num1)
86,86,303,(w14-gp(w11-gp(w8-gp(w7-gp(w10-gp(w11-gp(w4-gp(w14-gp(w1-gp55-tp3-num1)-tp6-num1)-tp64-num1)-tp3-num1)-tp6-num2)-tp6-num1)-tp9-num1)-tp3-num1)-tp24-num1)
87,87,487,(w4-gp(w10-gp(w8-gp(w11-gp(w10-gp(w3-gp(w3-gp(w14-gp(w1-gp55-tp3-num1)-tp9-num1)-tp36-num1)-tp3-num1)-tp3-num1)-tp9-num2)-tp6-num1)-tp6-num1)-tp658-num1)
88,88,866,(w10-gp(w7-gp(w10-gp(w8-gp(w14-gp(w2-gp(w3-gp(w3-gp(w14-gp(w1-gp55-tp3-num1)-tp9-num1)-tp19-num1)-tp3-num1)-tp3-num1)-tp9-num1)-tp6-num2)-tp6-num1)-tp3388-num1)-tp6-num1)
89,89,1507,(w10-gp(w3-gp(w12-gp(w9-gp(w4-gp(w7-gp(w6-gp(w10-gp(w3-gp(w14-gp(w1-gp55-tp3-num1)-tp9-num1)-tp68-num1)-tp3-num1)-tp3-num1)-tp3-num1)-tp6-num1)-tp6-num1)-tp6-num1)-tp9-num1)-tp6-num2)
90,90,1436,(w9-gp(w4-gp(w12-gp(w6-gp(w15-gp(w1-gp(w9-gp(w14-gp(w14-gp(w1-gp55-tp3-num1)-tp3-num1)-tp64-num1)-tp3-num1)-tp9-num1)-tp12-num1)-tp6-num1)-tp6-num1)-tp6-num1)-tp17-num1)
91,91,1363,(w8-gp(w12-gp(w1-gp(w1-gp(w1-gp(w1-gp(w1-gp(w1-gp(w1-gp(w1-gp55-tp13-num1)-tp3-num1)-tp3-num1)-tp3-num1)-tp3-num1)-tp3-num1)-tp9-num1)-tp6-num1)-tp6-num2)-tp6-num2)
92,92,310,(w14-gp(w14-gp(w15-gp(w14-gp(w2-gp(w3-gp(w3-gp(w14-gp(w1-gp55-tp3-num1)-tp9-num1)-tp19-num1)-tp3-num1)-tp3-num1)-tp15-num1)-tp6-num2)-tp6-num1)-tp220-num1)
93,93,1481,(w1-gp(w5-gp(w6-gp(w8-gp(w5-gp(w11-gp(w12-gp(w7-gp(w3-gp(w14-gp(w1-gp55-tp3-num1)-tp9-num1)-tp12-num1)-tp15-num1)-tp3-num1)-tp9-num2)-tp9-num1)-tp6-num1)-tp6-num2)-tp6-num1)-tp6-num1)
94,94,1663,(w13-gp(w9-gp(w11-gp(w1-gp(w6-gp(w12-gp(w1-gp(w1-gp(w1-gp(w1-gp(w1-gp55-tp13-num1)-tp3-num1)-tp3-num1)-tp3-num1)-tp9-num1)-tp12-num1)-tp9-num1)-tp6-num2)-tp6-num1)-tp1346-num1)-tp6-num1)
