,id,xyz,bo
421,FEQPOG,3,3
422,QEFXAA,3,3
423,VIMWOG,2,2
424,HAQNEV,2,2
425,PEBQUI,1,1
426,VOJWEW,3,3
427,GANCUW,1,1
428,SEJGEU,1,1
429,TAHYIM,3,3
430,NOCSAA,3,3
431,ERUYUN,2,2
432,HIYKEG,2,2
433,QUBJUS,2,2
434,GIQKAU,3,3
435,CITHIZ,1,1
436,WENPOU,3,3
437,ZOWNAA,2,2
438,GAMMEO,3,3
439,QOJLOQ,2,2
440,VACSUN,2,2
441,PASLAX,2,2
442,CINRAU,2,2
443,IFOMOH,3,3
444,OHERIC,3,3
445,YUNQEE,1,1
446,XIWNAT,2,2
447,HUMFAW,3,3
448,WUVPAE,3,3
449,YUHBAE,3,3
450,BOSFOF,2,2
451,YAKFIB,3,3
452,SOKVIA,3,3
453,CUWDON,1,1
454,XEVFIP,1,1
455,NELBOX,3,3
456,QAGVIE,3,3
457,UGIJEB,3,3
458,EXIGIB,1,1
459,WIPZED,3,3
460,BUSVOC,2,2
461,WUXGAZ,1,1
462,MEKBEJ,2,2
463,SICLOH,3,3
464,BIWMID,1,1
465,OCOPEE,3,3
466,UFUHAH,2,2
467,FAVCOX,2,2
468,WAJFOC,3,3
469,ULONIU,1,1
470,VILDIF,3,3
471,IWIWOA,2,2
472,ESOCEU,2,2
473,MUHBOI,2,2
474,PACDIH,1,1
475,CAKRAH,2,2
476,BOLTIG,3,3
477,APEBAA,1,1
478,MASSEH,3,3
479,GUGWEK,3,3
480,XOTLOJ,1,1
481,XUYWAP,3,3
482,UTIYAY,2,2
483,QAQZEO,3,3
484,YATMAJ,2,2
485,AFOYUR,3,3
486,HIVVOX,2,2
487,MANKUJ,1,1
488,VUHFAH,3,3
489,ZISBAE,2,2
490,OGOMIH,2,2
491,MUCCIW,2,2
492,BULJEY,3,3
493,JIFYIJ,2,2
494,PIGWOT,3,3
495,LECFAB,2,2
496,WIMGIL,3,3
497,VIYDOX,1,1
498,TOKZAU,1,1
499,AQOKOG,3,3
500,BERWAZ,2,2
501,OKEMOG,2,2
502,DORWOW,2,2
503,VOMPAP,3,3
504,WOCNIM,2,2
505,TUJPOD,3,3
506,HUKKOP,2,2
507,WAQHEC,3,3
508,NEHRUN,1,1
509,LUHWUH,3,3
510,PACCON,2,2
511,VIXRUS,2,2
512,KAPDEM,3,3
513,UHACAI,2,2
514,YAVLEP,3,3
515,PEMGOG,3,3
516,YEJSUC,2,2
517,DAVHUE,3,3
518,BEQRAS,3,3
519,ITUHOW,3,3
520,GEKDIL,3,3
521,BOCPOY,3,3
522,EQICIR,3,3
523,NESYAL,2,2
524,JEGQAN,3,3
525,RETFEB,1,1
526,QAXCIB,3,3
527,HISPOR,2,2
528,NARRUU,3,3
529,LIGXOP,3,3
530,NADPUD,2,2
531,QUJBED,3,3
532,TUNKET,2,2
533,COYDIE,3,3
534,FONLUS,2,2
535,FEHQOY,2,2
536,UCEVOO,2,2
537,DUHMAV,3,3
538,FERLAP,3,3
539,NEVQOU,2,2
540,DOBXAV,1,1
541,HOHYIM,1,1
542,KINJOG,1,1
543,NEWPUD,1,1
544,HESPUR,2,2
545,ROKDUQ,2,2
546,FIKTUP,3,3
547,LOSRIW,3,3
548,GUYFAH,2,2
549,DUCKAN,2,2
550,RUQKAQ,3,3
551,LASXUY,2,2
552,IQIPAA,3,3
553,QAKPIC,2,2
554,AYACAF,2,2
555,MUNFIL,1,1
556,TULJAN,2,2
557,MECFAB,2,2
558,VASWIV,2,2
559,TADXOM,3,3
560,RIRYOJ,2,2
561,HOSPEK,3,3
562,ZACKOD,2,2
563,WONBAC,2,2
564,CEQKOZ,1,1
565,AMIQOE,3,3
566,SAJSAZ,3,3
567,FISMOJ,3,3
568,TUDNIR,3,3
569,SUPXIL,3,3
570,IZUPAU,3,3
571,CINROI,2,2
572,XUXCOK,1,1
573,HEDJOP,1,1
574,COWXUH,2,2
575,AUDETC,3,3
576,XIWNOH,2,2
577,XEKKOP,3,3
578,ESOCIA,1,1
579,FAQSEY,3,3
580,HUMFOK,3,3
581,XITKOA,2,2
582,SOVBAH,3,3
583,JEMZAD,2,2
584,GOPQIL,3,3
585,XEDQAA,2,2
586,BOFXOK,3,3
587,KIWKAE,2,2
588,AKERUD,2,2
589,GANFEI,2,2
590,LUFNUX,3,3
591,QIXNUG,1,1
592,VALBER,3,3
593,OCUSOW,3,3
594,WURBOC,2,2
595,AFORIW,2,2
596,SADMES,1,1
597,XOVTIM,2,2
598,OGOFUM,2,2
599,PESVEO,2,2
600,KOCXIK,2,2
601,QAMDEN,2,2
602,KECTOE,3,3
603,VAZWEY,3,3
604,KUMHIK,2,2
605,ZATMEM,3,3
606,UKONUD,2,2
607,YUXVUJ,3,3
608,SINWIW,3,3
609,PUWFIY,2,2
610,PUNGIP,3,3
611,GOFMAR,1,1
612,KILKEV,2,2
613,RIXGUA,3,3
614,ZIHBIB,1,1
615,HAXPAA,1,1
616,GIXBEX,2,2
617,DEYMAV,3,3
618,OWETAM,3,3
619,BIBTOX,2,2
620,LOMDEY,3,3
621,BISQIF,3,3
622,GEQYIN,3,3
623,BIQYEI,3,3
624,CALKAC,2,2
625,SEWSOC,2,2
626,XOGSUH,2,2
627,MIZKAH,2,2
628,TUGNUF,3,3
629,BEJWUI,2,2
630,KAYZAM,3,3
631,FOKXEJ,3,3
632,CIQGOY,3,3
633,TONBED,1,1
634,MIVSIV,3,3
635,VOYJEY,1,1
636,SIWDUY,3,3
637,HESRAB,2,2
638,KADGOM,3,3
639,BOSJUR,3,3
640,DEBMEE,3,3
641,BUXYIE,2,2
642,XONQOH,3,3
643,ZIYYEL,3,3
644,QUWFIY,3,3
645,EXEVEJ,2,2
646,PAGHOV,2,2
647,YUGCUZ,2,2
648,IHIZUV,2,2
649,KAMYEF,2,2
650,POWFOW,1,1
651,GEKCAA,2,2
652,XIJTEQ,2,2
653,CUKJID,2,2
654,WUGLEQ,3,3
655,ISENUR,3,3
656,LIXTOB,3,3
657,FAVXUV,3,3
658,QUGNAI,3,3
659,WAYKIQ,2,2
660,JURCAC,2,2
661,ZELWUI,2,2
662,BEWQOL,2,2
663,EYOVAQ,3,3
664,GACMII,2,2
665,ACAFUI,3,3
666,EXUKUD,2,2
667,WAQVAO,3,3
668,GARHOW,2,2
669,COPSEG,2,2
670,PESJUS,3,3
671,RIRYAV,3,3
672,LOXSAU,3,3
673,AZUQAN,1,1
674,COHXON,1,1
675,POZSIG,1,1
676,WULSIH,3,3
677,IZADES,1,1
678,ACOCIF,3,3
679,FUTCOO,3,3
680,LAWDUL,3,3
681,IHOYUB,3,3
682,WOCYET,3,3
683,HOJCUF,2,2
684,POMKEJ,3,3
685,NAMLIW,3,3
686,OCIJES,2,2
687,QEFVAY,3,3
688,BASRUL,3,3
689,BESTOL,2,2
690,AROJOG,1,1
691,GUGPON,3,3
692,OVIPAL,1,1
693,DIDROZ,1,1
694,CAFPII,2,2
695,NOMSOX,1,1
696,COLTED,3,3
697,KUDVAH,3,3
698,NIJSEH,2,2
699,BAXFIS,2,2
700,NAHTAR,2,2
701,CUNBEU,2,2
702,GUQPUD,2,2
703,LEHPIZ,2,2
704,LIMTIK,2,2
705,KUQQAP,1,1
706,XEYYUW,3,3
707,EKALUY,3,3
708,VOMGOV,3,3
709,JUXHOB,3,3
710,MAHSOG,3,3
711,FIZCAU,3,3
712,SOFZOD,2,2
713,WOMYEF,2,2
714,BAJHAW,1,1
715,YAFJOG,2,2
716,VIFVEM,3,3
717,DOGPAS,2,2
718,LASSIK,1,1
719,DAMTOA,1,1
720,ICEWOD,3,3
721,WOLSOF,3,3
722,PCTHFC,1,1
723,IQAZEF,3,3
724,ALEBAU,3,3
725,HEGZUO,3,3
726,SICLAT,2,2
727,TTAZNP,3,3
728,HIGJIS,3,3
729,CIMBUV,2,2
730,XABFEM,2,2
731,IMACEG,2,2
732,XOTLAV,2,2
733,BABROO,3,3
734,CENWIC,2,2
735,RAGHEM,3,3
736,KAYSIO,3,3
737,MAYHAV,2,2
738,ORUHUF,3,3
739,OMAZUZ,3,3
740,BAMQOW,1,1
741,ECIBEY,3,3
742,WOSNOH,2,2
743,RIXXUR,3,3
744,MEHHOX,3,3
745,VUWBAS,3,3
746,KILTEE,2,2
747,SEWYUQ,3,3
748,IYAZIT,2,2
749,VIMQOA,2,2
750,VEVDIL,3,3
751,DAFDEW,3,3
752,DIVZIS,3,3
753,TISLUF,2,2
754,MASKOI,1,1
755,MATLIF,3,3
756,HUPDAX,3,3
757,LELXUY,3,3
758,DAKXIZ,3,3
759,DIXTEM,2,2
760,QIPYET,3,3
761,PSEPNJ,3,3
762,VAWJAH,3,3
763,VIFWOY,2,2
764,LAMTEY,2,2
765,TIRJIQ,3,3
766,VEMQUA,1,1
767,QOZBEO,3,3
768,PIMTOW,3,3
769,NAHLEO,3,3
770,CUKLEA,3,3
771,VEQDIE,3,3
772,JENWAD,3,3
773,LUWSUS,2,2
774,KAJXOL,3,3
775,NRACRH,2,2
776,HOTJUX,3,3
777,LADJOR,3,3
778,GACRIM,2,2
779,YALGOK,3,3
780,KEGYOL,2,2
781,VABMAP,3,3
782,DUHBIR,1,1
783,YILQIW,2,2
784,AKOMIX,3,3
785,YAYYAZ,3,3
786,VAYQUH,3,3
787,LEYTEP,3,3
788,XANHEB,3,3
789,ECIJEG,3,3
790,ZUZMEM,2,2
791,MONPIO,1,1
792,BEPGEK,2,2
793,VOSYOR,3,3
794,BEJTEQ,2,2
795,SOQMEQ,3,3
796,GINXAC,1,1
797,GIWWOY,2,2
798,BABTAB,3,3
799,LOVBOP,3,3
800,UWOZIQ,3,3
801,YAKYER,3,3
802,WUWBAS,2,2
803,QASTIQ,3,3
804,UJIKAA,3,3
805,NAVJAV,3,3
806,XEWTIF,2,2
807,HOTQAJ,3,3
808,ZOVBIX,2,2
809,QOFYUG,1,1
810,VOZGEY,3,3
811,JUPCOM,2,2
812,AFOHUY,3,3
813,RIQDEB,2,2
814,FUYYOP,2,2
815,QUGVET,3,3
816,OQIHUT,3,3
817,ADIJAZ,3,3
818,PIDTOL,2,2
819,VEGCUI,3,3
820,AYIJUN,3,3
821,CIJJUA,2,2
822,EFAXEP,3,3
823,WUTYIU,3,3
824,QOCSAE,3,3
825,MIZCAA,3,3
826,WUSGAS,1,1
827,HUKCAR,2,2
828,KAYRAD,2,2
829,ZACSEE,2,2
830,CONZEN,1,1
831,DUKNAY,2,2
832,INOZOC,3,3
833,MOBSUT,3,3
834,QOWYOS,1,1
835,TAYMOX,2,2
836,TOJFOP,3,3
837,NITJAB,2,2
838,MAJJOW,3,3
839,FAVLET,1,1
840,DEWKOI,3,3
841,KOJBUI,1,1
842,ZOBXAR,3,3
843,CIZWEO,2,2
844,AXENUO,3,3
845,IDAXES,3,3
846,NAPPOK,3,3
847,BEGMUV,1,1
848,XIWVIJ,1,1
849,YUQLIH,3,3
850,MALWED,2,2
851,NAJCOQ,1,1
852,ZIZJOK,2,2
853,IGUDET,1,1
854,NIKXEK,1,1
855,ETUCOM,3,3
856,LALGAG,3,3
857,ECUZEI,3,3
858,TOPBOP,1,1
859,KELFAJ,3,3
860,LULQIS,3,3
861,TITPES,3,3
862,RONVIZ,2,2
863,COBWUN,3,3
864,QUBPEI,3,3
865,CELNIS,1,1
866,MOYQIC,3,3
867,FODTAU,1,1
868,DIXHUQ,3,3
869,DOMDOA,2,2
870,XICWUE,2,2
871,AXUTAO,3,3
872,TARRAI,3,3
873,UBOYAO,3,3
874,LALYIH,3,3
875,BOKWUU,3,3
876,ACEWEK,2,2
877,JEGPEQ,3,3
878,ISULEO,2,2
879,MISZOD,3,3
880,LUYSUV,3,3
881,IGAKUW,2,2
882,KUYZAH,2,2
883,BIXHIZ,2,2
884,MEWSAL,3,3
885,LILMUO,2,2
886,JEDLIN,2,2
887,NOJBAQ,3,3
888,SECVEE,3,3
889,XIVKAO,1,1
890,TAPCAP,3,3
891,GIRXEN,2,2
892,LIMBAM,3,3
893,QAKXEI,3,3
894,IKEYOM,3,3
895,JAWKOH,2,2
896,MUPSUM,2,2
897,NAWRUY,1,1
898,NACCOJ,1,1
899,NILVIN,2,2
900,VIZWIK,1,1
901,EXOKAE,2,2
902,KOMWOA,3,3
903,DUSRIU,2,2
904,IGOPAW,3,3
905,UHIQAD,1,1
906,REVHIK,3,3
907,PIDMAR,2,2
908,SOBPIK,2,2
909,LECNOW,3,3
910,BODFIJ,3,3
911,XEBTOO,2,2
912,TUKWUS,2,2
913,AXEBAG,2,2
914,JUDNEB,2,2
915,DORQOQ,1,1
916,PPTCFE,2,2
917,YASKAE,3,3
918,URUHOF,2,2
919,CIBBEV,1,1
920,TULKEQ,1,1
921,PIWNEP,1,1
922,EQOCUJ,2,2
923,BEQTAU,3,3
924,POYGEQ,2,2
925,MIVKOT,2,2
926,HENPOF,2,2
927,IXEZOB,2,2
928,YOXWUD,2,2
929,VEBYIK,1,1
930,FAHDAU,3,3
931,VUGSIA,2,2
932,CUHWAD,2,2
933,UWODOB,1,1
934,LELTOM,2,2
935,XOGBUT,2,2
936,MIDRIA,3,3
937,FERHUF,1,1
938,XUDBON,3,3
939,TENSUA,1,1
940,NAVZIV,1,1
941,ZOZCAS,3,3
942,BAFFOD,3,3
943,FEBLII,2,2
944,CIGCON,3,3
945,DAWXAC,2,2
946,PIDCAJ,3,3
947,IZUFEP,1,1
948,HIKCAF,3,3
949,GARPEV,3,3
950,DASCIL,3,3
951,PICJIV,2,2
952,ELOTOO,3,3
953,GEZPAE,2,2
954,DETBUC,2,2
955,CADGIA,3,3
956,QIMTAK,3,3
957,VALCAM,3,3
958,ZESXEC,3,3
959,RABXAU,3,3
960,KIJYEI,2,2
961,COWKOO,3,3
962,XEYCEM,3,3
963,GIVXUG,1,1
964,TPCPCQ,2,2
965,WACPEV,2,2
966,DAKDUR,2,2
967,CUXMUD,1,1
968,EPEJUG,1,1
969,WONQUO,3,3
970,HAKKOU,3,3
971,BEHRIQ,1,1
972,SASVUE,3,3
973,EZASUU,2,2
974,KUKMIN,2,2
975,NOFSOQ,3,3
976,MINNEE,2,2
977,XIMYUO,3,3
978,SOBNOO,3,3
979,FEPKIX,3,3
980,ACUSUP,3,3
981,JIQBUH,3,3
982,KESSOQ,3,3
983,ITAZEK,3,3
984,DAJROY,3,3
985,YEWDAF,2,2
986,SOGXIY,2,2
987,WIWNUO,3,3
988,IBOCUA,2,2
989,WAVYIB,3,3
990,MIFJAM,3,3
991,WAHFAM,1,1
992,FOJVUW,2,2
993,BACWOT,2,2
994,EGODAI,2,2
995,QABJUA,2,2
996,MUBHIC,2,2
997,DITWUB,3,3
998,AMINOA,2,2
999,QIHKOH,3,3
1000,MPZBEP,3,3
1001,JARSIF,2,2
1002,VEMHUT,3,3
1003,RISLEN,2,2
1004,ULOTUL,2,2
1005,VALDET,3,3
1006,FEWREG,2,2
1007,XAMSAG,2,2
1008,RIYWOL,2,2
1009,HATPAV,2,2
1010,ESAWUR,2,2
1011,LECBUT,3,3
1012,TIDVOS,3,3
1013,KEYVOC,2,2
1014,TAHQID,3,3
1015,JUYCAJ,3,3
1016,MASKAU,2,2
1017,BAGROT,2,2
1018,SAVGUU,3,3
1019,HAMHOV,1,1
1020,TEZWUS,3,3
1021,EXIQAD,3,3
1022,NEMWEK,3,3
1023,QESYOC,2,2
1024,HAXXOT,3,3
1025,GACYUH,3,3
1026,COSYOB,3,3
1027,EGEXOE,3,3
1028,MOQREQ,2,2
1029,KUCYIR,3,3
1030,NABGEE,3,3
1031,BILGUZ,2,2
1032,OCODUG,2,2
1033,PETWAN,2,2
1034,FIZRAI,3,3
1035,DIGDUT,2,2
1036,TUJXOM,3,3
1037,YEYZIL,2,2
1038,REDQOI,3,3
1039,CIXHEY,3,3
1040,XIQKOZ,3,3
1041,DOLNIB,3,3
1042,DINVIH,1,1
1043,NAKYON,2,2
1044,TOKKOU,3,3
1045,BUQFEY,1,1
1046,TOQXOO,2,2
1047,MOYMUK,1,1
1048,IVUCAE,2,2
1049,ZEMNEN,3,3
1050,JEZCIA,2,2
1051,UBUCEC,3,3
1052,VUVQIN,2,2
1053,NEHFEL,3,3
1054,UDUMAI,3,3
1055,ODIYOQ,3,3
1056,XULVOR,2,2
1057,BAJGID,2,2
1058,QARWEO,3,3
1059,TUJHIQ,2,2
1060,COGTEZ,1,1
1061,OJUQOA,3,3
1062,ZEYCOV,2,2
1063,UCOLON,3,3
1064,GIMDAH,3,3
1065,QAJLIZ,3,3
1066,DEHPOV,1,1
1067,NULVIZ,3,3
1068,YESFEH,3,3
1069,ZIJKAE,3,3
1070,CAZFIV,2,2
1071,FOHKAQ,3,3
1072,IHOCEO,2,2
1073,KITQOT,2,2
1074,OWUJOG,3,3
1075,ZUHZOT,3,3
1076,AVEZOR,2,2
1077,YIGGAX,2,2
1078,RURHOB,1,1
1079,EFUNUQ,3,3
1080,SEKROQ,2,2
1081,NANFAM,3,3
1082,EHEWUJ,2,2
1083,NIFZOU,2,2
