,core,ligands
VUCGOQ,Ru,ligand1-0 ligand1-0 ligand4-0 ligand4-0 ligand16374-0
HARLIV,W,ligand1-0 ligand1-0 ligand1-0 ligand693-0 ligand693-0 ligand693-0
WEYVAX,Co,ligand1-0 ligand28586-0
QASRAG,Pt,ligand1-0 ligand1-0 ligand51-0 ligand7992-0
QOYXAF,Zn,ligand105-0 ligand105-0 ligand8847-0
YEGJOK,Co,ligand4-0 ligand4-0 ligand1747-0
BUQGEB,Mo,ligand4-0 ligand4-0 ligand4-0 ligand4-0 ligand4-0 ligand21573-0
HAZFAR,Au,ligand1-0 ligand24048-0
NIJCEO,Cu,ligand19066-0
BOCYOK,Fe,ligand279-0 ligand279-0 ligand4930-0 ligand4930-0
IFEXAV,Zn,ligand25747-0
CAZWOQ,Os,ligand4-0 ligand188-0 ligand7630-0 ligand7630-0
COPSAC,Mo,ligand24-0 ligand24-0 ligand78-0 ligand15088-0
ADUREY,Os,ligand1-0 ligand1-0 ligand1-0 ligand16-0 ligand964-0
JURCEG,Ni,ligand1-0 ligand13959-0
QEVYIC,Ni,ligand12036-0 ligand12036-0
DUSZOG,Ag,ligand51-0 ligand51-0 ligand600-0
SISQUI,Ni,ligand15574-0 ligand15574-0
MAGNAK,Pt,ligand1-0 ligand1-0 ligand28737-0 ligand28737-0
BIBDOH,Zn,ligand34-0 ligand34-0 ligand4822-0 ligand4822-0 ligand28494-0 ligand28494-0
MIVSOZ,Ru,ligand1-0 ligand1-0 ligand1-0 ligand4-0 ligand4-0 ligand1248-0
QEHQAV,Ru,ligand409-0 ligand5365-0 ligand5366-0
OBOKAS,Zr,ligand1-0 ligand1-0 ligand24325-0
TAKLEW,Mo,ligand24-0 ligand66-0 ligand66-0 ligand2232-0
ZOCCAV,Cr,ligand4-0 ligand4-0 ligand4-0 ligand4-0 ligand4-0 ligand11405-0
PILHIB,Ru,ligand1-0 ligand1-0 ligand4573-0 ligand30606-0
HUFRUX,Pd,ligand1-0 ligand30842-0
SOHJOQ,Pt,ligand3-0 ligand18-0 ligand18-0 ligand29818-0 ligand31600-0
HUTGIN,Y,ligand692-0 ligand692-0 ligand4039-0
LEZBUQ,Zn,ligand3496-0 ligand3496-0
IMACAC,Fe,ligand3-0 ligand3-0 ligand4868-0
YUMVUX,Fe,ligand14194-0 ligand14194-0
NIMSAE,Ru,ligand133-0 ligand984-0 ligand1148-0
ASIKIX,Fe,ligand4-0 ligand4-0 ligand4-0 ligand25641-0
MIMMAY,Cd,ligand600-0 ligand600-0 ligand1111-0 ligand1111-0
RAGHAI,Pd,ligand1-0 ligand1-0 ligand24347-0
FEWDEQ,Ni,ligand430-0 ligand18168-0
SIHVUC,Pt,ligand18-0 ligand51-0 ligand584-0 ligand17615-0
PASLIH,Pt,ligand27190-0 ligand27190-0
BEKDUS,Ni,ligand20606-0 ligand20607-0
BIZQOQ,Co,ligand1-0 ligand45-0 ligand1871-0
NIMJOL,Ti,ligand416-0 ligand416-0 ligand29582-0
EBASEH,Ni,ligand6549-0 ligand9845-0
YOZGUQ,Ir,ligand1-0 ligand89-0 ligand250-0 ligand250-0 ligand2838-0
VAZPES,Co,ligand21-0 ligand4678-0
QIZCAF,Fe,ligand1-0 ligand1-0 ligand30932-0
BUYMOY,Mo,ligand24-0 ligand24-0 ligand26758-0 ligand26759-0
NANNIC,Ag,ligand67-0 ligand2965-0
JAZFIA,Pd,ligand1-0 ligand1-0 ligand13947-0
RASKEB,Au,ligand51-0 ligand17234-0
YEXHOA,Ir,ligand421-0 ligand421-0 ligand1027-0 ligand1027-0
LEDTUK,Pd,ligand73-0 ligand73-0 ligand4303-0 ligand4303-0
PAYPEL,Hf,ligand1-0 ligand45-0 ligand45-0 ligand8747-0
LUZLOJ,Ti,ligand45-0 ligand45-0 ligand8488-0
IPTOFE,Fe,ligand4-0 ligand4-0 ligand4-0 ligand14556-0
AZMTCO,Co,ligand196-0 ligand196-0 ligand14868-0
SIDLEY,Ta,ligand1-0 ligand18-0 ligand18-0 ligand18-0 ligand12816-0
OTUQUR,Ru,ligand1-0 ligand1-0 ligand51-0 ligand21227-0
FUFZAJ,Ag,ligand73-0 ligand14428-0
WOMYAB,Re,ligand4-0 ligand4-0 ligand4-0 ligand28628-0
LEXVIU,Pt,ligand3-0 ligand3-0 ligand3-0 ligand3-0 ligand6620-0
XUMCOY,V,ligand24-0 ligand188-0 ligand294-0 ligand9936-0
HINSAZ,Rh,ligand1-0 ligand370-1 ligand7833-0 ligand7833-0
NOWNEU,Mn,ligand3-0 ligand4-0 ligand4-0 ligand4-0 ligand17276-0
EDOFUB,Ti,ligand1-0 ligand1-0 ligand1-0 ligand1-0 ligand7115-0
EJELUC,Pd,ligand18-0 ligand38-0 ligand20953-0
SIPFIG,Ni,ligand13715-0 ligand13715-0
GENKIT,Hf,ligand48-0 ligand48-0 ligand89-0 ligand19540-0
JATTUT,Re,ligand24-0 ligand3444-0 ligand28165-0
SUFJIM,Fe,ligand4-0 ligand409-0 ligand13882-0
DIKQIY,Ru,ligand1-0 ligand1-0 ligand49-0 ligand4083-0
ABEZEO,Re,ligand4-0 ligand4-0 ligand4-0 ligand361-0 ligand361-0 ligand5404-0
NOBGIV,Pd,ligand1-0 ligand23314-0
YUJMAT,Zn,ligand4988-0 ligand4988-0
ISIXUD,Ru,ligand4-0 ligand4-0 ligand21966-0
HAXPEE,Co,ligand1048-0 ligand1048-0 ligand12252-0
TARQUB,Mn,ligand4-0 ligand4-0 ligand4-0 ligand88-0
TORLIV,Zr,ligand9335-0 ligand9335-0 ligand15124-0
LEDVOG,Rh,ligand17-0 ligand89-0 ligand9539-0
FUYQIB,Ru,ligand4-0 ligand48-0 ligand25206-0
IBONAR,Ru,ligand1-0 ligand115-0 ligand25661-0
KILKAR,W,ligand1-0 ligand4-0 ligand38-0 ligand38-0 ligand38-0 ligand12231-0
XEXXIJ,Sc,ligand34-0 ligand4047-0 ligand4047-0 ligand4047-0
AFAKAW,Pt,ligand1-0 ligand1-0 ligand133-0 ligand26951-0
DAVJEQ,Cd,ligand29-0 ligand600-0 ligand3278-0
PEFQAS,Pd,ligand1-0 ligand1-0 ligand30456-0
PIZMOB,Pt,ligand29-0 ligand29-0 ligand51-0 ligand51-0
AQICUZ,Zr,ligand1-0 ligand1-0 ligand48-0 ligand7365-0
IBUDOA,Re,ligand1-0 ligand1-0 ligand24-0 ligand28084-0
CESJAO,Pt,ligand18-0 ligand18-0 ligand7113-0
ZEQFIM,Co,ligand196-0 ligand359-0 ligand359-0 ligand20377-0
XURFIB,Mo,ligand4-0 ligand4-0 ligand4-0 ligand4-0 ligand4-0 ligand13555-0
QAWYOC,Pt,ligand1-0 ligand18-0 ligand18-0 ligand23578-0
XUZLAF,Ru,ligand4-0 ligand45-0 ligand250-0 ligand5845-0
GAFKOO,Ti,ligand38-0 ligand45-0 ligand45-0 ligand89-0 ligand3786-0
FAQZIH,Ni,ligand2794-0 ligand12488-0 ligand12488-0
DUDREA,Y,ligand325-0 ligand325-0 ligand5846-1
ULUCIP,Pd,ligand2186-0 ligand6332-0
ULUDOV,Cd,ligand1-0 ligand1-0 ligand22347-0
MARPOM,Pd,ligand1-0 ligand1-0 ligand2346-0 ligand2346-0
UHEFIY,Pt,ligand1-0 ligand11781-0
XIKNOV,Pt,ligand92-0 ligand28303-0
SOVBEL,Ni,ligand1-0 ligand38-0 ligand5594-0
URUGOE,Pd,ligand1-0 ligand1-0 ligand51-0 ligand8239-0
FACJIC,Co,ligand1-0 ligand100-0 ligand4974-0 ligand22616-0
MONVAN,Ti,ligand1-0 ligand1-0 ligand188-0 ligand188-0 ligand188-0 ligand479-0
UNIPEM,Ni,ligand92-0 ligand1449-1
XEDQEE,Re,ligand1-0 ligand4-0 ligand4-0 ligand4-0 ligand5763-0
WOKMAL,Pt,ligand321-0 ligand588-0 ligand26472-0
LIBPIY,Ni,ligand18-0 ligand8449-0 ligand8450-0
QIKQEJ,Pd,ligand18-0 ligand9385-0
PABKUZ,Pd,ligand669-0 ligand1056-0 ligand10436-0
CUJKUN,Au,ligand8831-0 ligand11294-0
HINCEN,Pd,ligand1-0 ligand1-0 ligand10705-0
NORHEH,Ni,ligand3-0 ligand3-0 ligand8189-0
CAMTUF,Rh,ligand2575-0 ligand2575-0
SESVIX,Ru,ligand1-0 ligand13-0 ligand24924-0
ETOJUU,Ni,ligand3-0 ligand1455-0
VIBHUL,Rh,ligand3-0 ligand115-0 ligand29890-0
NAHDAB,Re,ligand24-0 ligand25862-0 ligand25862-0
DOSDAQ,Pd,ligand19435-0 ligand19435-0
KEMQUQ,Ni,ligand22538-0
JEWPIL,Mo,ligand4-0 ligand4-0 ligand4-0 ligand9450-0 ligand9450-0 ligand9450-0
KUDJUP,Au,ligand296-0 ligand4388-0
SUHXUO,Pd,ligand18-0 ligand4811-0
ZAZDIN,Ti,ligand416-0 ligand2130-0
IXIFUQ,V,ligand24-0 ligand24-0 ligand1564-0
LABSUD,Hg,ligand1544-0 ligand1544-0 ligand5548-0 ligand7923-0
PAWYOC,V,ligand1-0 ligand1-0 ligand24-0 ligand326-0 ligand2993-0
UFENOL,Hg,ligand1-0 ligand18285-0
IKUYAO,Ir,ligand1-0 ligand2616-0 ligand2616-0 ligand2616-0
NEQVAJ,Pt,ligand40-0 ligand40-0 ligand19650-0
ADOXIB,Pt,ligand830-0 ligand7545-0 ligand7545-0
QEJNOK,Pt,ligand40-0 ligand40-0 ligand11552-0
MARRUV,Cu,ligand1-0 ligand27368-0
HISNOM,Pt,ligand18-0 ligand18-0 ligand6301-0
MAZZEV,Pt,ligand1-0 ligand1-0 ligand1211-0 ligand1211-0
GUTMEO,Re,ligand1-0 ligand1-0 ligand16-0 ligand51-0 ligand1729-0
KEJMES,Mo,ligand18-0 ligand18-0 ligand48-0 ligand48-0
IYIQOW,Ag,ligand23933-0 ligand23933-0
GIHTAT,Zn,ligand6278-0 ligand6278-0
SUZTEO,Ru,ligand45-0 ligand51-0 ligand19602-0
WABYUV,Ni,ligand279-0 ligand279-0 ligand7812-0 ligand7812-0
FUMROV,Pd,ligand18-0 ligand588-0 ligand3502-0
SOHDAU,Au,ligand51-0 ligand308-0
YEXXIJ,Rh,ligand1-0 ligand193-0 ligand9947-0
CEYVOT,Ta,ligand416-0 ligand416-0 ligand416-0 ligand30948-0
NOFLEZ,Ni,ligand28015-0
BUJKUN,Pd,ligand1703-0 ligand5763-0
BAMTUF,Hf,ligand12500-0 ligand12500-0 ligand17175-0
UDODUM,Zn,ligand467-0 ligand552-0
SUXBAO,Pd,ligand1-0 ligand1-0 ligand19764-0
WUJNEW,Ru,ligand1-0 ligand38-0 ligand662-0 ligand1367-0
ZORMUQ,Ru,ligand13-0 ligand16537-0
MEZYAT,Fe,ligand3-0 ligand89-0 ligand2295-0 ligand24756-0
EGOKOA,Rh,ligand38-0 ligand38-0 ligand26515-0
YIDTAG,Ru,ligand4-0 ligand4-0 ligand830-0 ligand23291-0
SAJCOV,W,ligand24-0 ligand55-0 ligand55-0 ligand55-0 ligand55-0 ligand188-0 ligand188-0
JUQXOI,Mo,ligand3-0 ligand3-0 ligand24-0 ligand9409-0
QUGGOP,Ag,ligand29266-0 ligand29266-0
WIVNOE,Re,ligand24-0 ligand10617-0 ligand26900-0
FAVHUF,Pd,ligand51-0 ligand51-0 ligand7389-0
CEQLAL,Rh,ligand1-0 ligand1-0 ligand140-0 ligand188-0 ligand188-0 ligand535-0
AREJUD,Ni,ligand1-0 ligand383-0 ligand383-0 ligand7312-0
KEBYEX,Ni,ligand12884-0 ligand17271-0 ligand17271-0
RUQLOG,Cd,ligand29-0 ligand78-0 ligand600-0 ligand15009-0
BAFYEO,Au,ligand51-0 ligand12700-0
CASWAV,Pd,ligand4898-0 ligand4898-0
LUZLAV,Ti,ligand45-0 ligand45-0 ligand19853-0
IWOTIY,Mn,ligand4-0 ligand4-0 ligand4-0 ligand3398-0
CIBDAT,Ni,ligand51-0 ligand279-0 ligand14744-0
NEZPOY,W,ligand24-0 ligand24-0 ligand294-0 ligand8788-0
OVURUU,Pd,ligand1-0 ligand1-0 ligand188-0 ligand20176-0
VATWOD,Zr,ligand1-0 ligand45-0 ligand45-0 ligand30585-0
RAGXII,Zn,ligand3-0 ligand3-0 ligand24236-0
ONUZON,Pd,ligand29435-0 ligand29435-0
PUTTAZ,Pd,ligand1-0 ligand8389-0
BOFFOT,Ru,ligand1-0 ligand1068-0 ligand1864-0
PUMLOZ,Au,ligand1-0 ligand5994-0
YESGIP,Au,ligand1-0 ligand12904-0
JOXVID,Pd,ligand1-0 ligand22686-0
NOQJOS,Cu,ligand13163-0
XONZUV,Rh,ligand1-0 ligand193-0 ligand29057-0
TIJPEH,Zn,ligand1-0 ligand1-0 ligand3181-0 ligand3181-0
YADBIP,Ti,ligand1-0 ligand45-0 ligand20887-0
ASGLCO,Co,ligand3901-0 ligand3901-0
GESQON,Re,ligand24-0 ligand24-0 ligand13328-0
BILMIS,Mo,ligand4-0 ligand4-0 ligand4-0 ligand4-0 ligand141-0 ligand141-0
BOTFIC,Rh,ligand1-0 ligand31520-0
HAWDIS,Ti,ligand48-0 ligand48-0 ligand30363-0
VOMPET,Au,ligand1-0 ligand105-0 ligand105-0 ligand9700-0
TOQBUZ,Zn,ligand20034-0 ligand20034-0
YUXHUU,V,ligand24-0 ligand10471-0
QAQZAK,Ni,ligand1-0 ligand45-0 ligand1264-0
YIMVUL,Pd,ligand18-0 ligand1746-0
XUYWET,Pt,ligand40-0 ligand40-0 ligand2110-0 ligand6277-0
LAJBEF,Cd,ligand719-0 ligand719-0 ligand7244-0
PODKOI,Mo,ligand4-0 ligand4-0 ligand4-0 ligand4-0 ligand15732-0
QEDBUZ,Ni,ligand3251-0 ligand11801-0
QADJAI,Pd,ligand1-0 ligand1-0 ligand206-0 ligand1228-0
UZIFAM,Ru,ligand1-0 ligand13-0 ligand2899-0
NOVJOZ,Pd,ligand3-0 ligand402-0
UMOBAZ,Zn,ligand23690-0 ligand23690-0
DAJTEP,W,ligand4-0 ligand4-0 ligand4-0 ligand4-0 ligand17655-0
DAVMOC,W,ligand24-0 ligand24-0 ligand571-0 ligand1219-0
LUVTIH,Au,ligand1-0 ligand17012-0
MICZNI,Ni,ligand21760-0 ligand21760-0
XACGUD,Zn,ligand34-0 ligand291-0 ligand23948-0
WIRROG,Pt,ligand1-0 ligand1-0 ligand73-0 ligand118-0 ligand3717-0
BIDYIX,Ir,ligand38-0 ligand38-0 ligand38-0 ligand2332-0 ligand18302-0
KURFUY,Pt,ligand141-0 ligand141-0 ligand25292-0
ECAQIL,Zn,ligand34-0 ligand34-0 ligand2116-0 ligand2116-0
VUBJOT,Pd,ligand3-0 ligand2253-0 ligand30039-0
ROBVOV,Rh,ligand1-0 ligand48-0 ligand29400-0
QUPVEC,Zn,ligand1-0 ligand1-0 ligand6154-0
HOCXIH,Y,ligand1-0 ligand1-0 ligand326-0 ligand326-0 ligand10108-0
XUCSET,Zr,ligand1-0 ligand1-0 ligand6937-0
IHAROY,Co,ligand108-0 ligand108-0 ligand108-0
KAMWAZ,Hg,ligand3-0 ligand3-0 ligand41-0 ligand41-0
MECFEF,Ru,ligand4-0 ligand1068-0 ligand15441-0
LAXBAN,Mo,ligand4-0 ligand4-0 ligand131-0 ligand1588-0 ligand1588-0
MIMXUD,Ir,ligand1019-0 ligand1019-0 ligand5206-0
XADBIP,Ru,ligand1-0 ligand1-0 ligand86-0 ligand25560-0
IBAGEA,Pd,ligand1-0 ligand1-0 ligand28392-0 ligand28392-0
NEXFIF,Pt,ligand1-0 ligand5757-0 ligand5758-0 ligand5758-0
WAJFIX,Ti,ligand12122-0 ligand12122-0
SIKFAW,Ir,ligand3549-0 ligand3549-0 ligand4720-0
WONBEG,Pd,ligand18-0 ligand5029-0 ligand20391-0
IFEXOJ,Pt,ligand1-0 ligand1-0 ligand19498-0
GETDUF,Cu,ligand4-0 ligand25-0
NISLEI,Pd,ligand3-0 ligand38-0 ligand26821-0
ERURAL,Zn,ligand1551-0 ligand1551-0 ligand2351-0 ligand2351-0
ROLVOD,Ni,ligand251-0 ligand251-0
SELHUM,Ru,ligand45-0 ligand51-0 ligand24468-0
GUSJOT,Rh,ligand1-0 ligand48-0 ligand4476-0
WUBMIR,Pt,ligand1-0 ligand19474-0
RIJLIH,Ru,ligand1-0 ligand1-0 ligand13-0 ligand21503-0
RIZHUG,Ni,ligand27495-0 ligand27495-0
QEHQOJ,Cr,ligand4-0 ligand4-0 ligand4-0 ligand4-0 ligand4-0 ligand10556-0
ODABON,Pd,ligand3-0 ligand3-0 ligand2253-0 ligand5404-0
JAQKUK,Pd,ligand31040-0 ligand31040-0
INABAC,Co,ligand48-0 ligand19960-0
WEWCUW,Fe,ligand188-0 ligand188-0 ligand188-0 ligand188-0 ligand584-0 ligand584-0
PUDBAR,Au,ligand51-0 ligand12511-0
OWULEY,Nb,ligand1-0 ligand1-0 ligand1-0 ligand1-0 ligand170-0
QAMDOA,Fe,ligand279-0 ligand279-0 ligand4396-0 ligand4396-0
KEZBEY,Ni,ligand512-0 ligand2376-0
CIDYIX,Ni,ligand1-0 ligand51-0 ligand13157-0
QAMJAR,Pd,ligand593-0 ligand1237-0
WIXYAF,Ru,ligand1-0 ligand1-0 ligand133-0 ligand133-0 ligand5200-0
WUHQEV,Ni,ligand424-0 ligand424-0
CMEPDA,Pd,ligand1-0 ligand1-0 ligand951-0
TUNKAP,Fe,ligand1-0 ligand1-0 ligand15816-0 ligand15816-0
NISPUB,Co,ligand291-0 ligand291-0 ligand1171-0 ligand1171-0
APUTEM,Fe,ligand279-0 ligand279-0 ligand14203-0 ligand14203-0
KEJJOA,Pt,ligand1170-0 ligand1171-0
NOLPEJ,Ru,ligand38-0 ligand38-0 ligand38-0 ligand19496-0
LUNHAD,Ni,ligand1-0 ligand1-0 ligand8693-0
KUMDUS,Rh,ligand1-0 ligand48-0 ligand21149-0
HONMOO,Cu,ligand201-0 ligand332-0
EABIMN,Ni,ligand868-0 ligand868-0 ligand29080-0 ligand29080-0
QOKHOQ,Cu,ligand3957-0
DALWES,Pt,ligand1-0 ligand1727-0 ligand1727-0 ligand2031-0
ZIPNOB,Mn,ligand1-0 ligand21008-0
WEMLEF,Pd,ligand1-0 ligand51-0 ligand28039-0
TEFHUI,Cu,ligand51-0 ligand231-0
SOWQON,Zn,ligand3-0 ligand3-0 ligand23588-0
QUSCAI,Ru,ligand4-0 ligand662-0 ligand6563-0
FIDKAG,Au,ligand51-0 ligand3139-0
LASHUI,W,ligand4-0 ligand4-0 ligand4-0 ligand4-0 ligand2526-0
POLHOO,Co,ligand1310-0 ligand3445-0
UPEKAC,Ru,ligand40-0 ligand45-0 ligand8464-0
RURGOA,Zr,ligand1-0 ligand1-0 ligand9474-0
CEKHOP,Cu,ligand1-0 ligand51-0 ligand115-0
VIZXEK,W,ligand5733-0 ligand5733-0 ligand5733-0 ligand5734-0
QIRWOF,Cr,ligand1-0 ligand5372-0
ROSMAP,Cu,ligand40-0 ligand51-0 ligand51-0 ligand177-0
GIDBIE,Ru,ligand1-0 ligand1-0 ligand4-0 ligand4-0 ligand7051-0
YIHKAC,Zn,ligand1-0 ligand1-0 ligand34-0 ligand2031-0
JOCHEO,Rh,ligand4-0 ligand4-0 ligand73-0 ligand73-0
EZEKIF,Zn,ligand4603-0 ligand4603-0
KIKBEM,Ni,ligand3-0 ligand3-0 ligand2509-0 ligand2509-0
LIZBAZ,Ti,ligand169-0 ligand169-0 ligand13840-0
VEMPUZ,Co,ligand78-0 ligand12712-0
XIXJAQ,Ru,ligand4-0 ligand4-0 ligand278-0 ligand1951-0 ligand1951-0
QENKAW,Ti,ligand2933-0 ligand3755-0
WUFFEI,Pd,ligand1-0 ligand1-0 ligand7133-0
OHIDIU,Ru,ligand1-0 ligand21-0 ligand9193-0
TEFJOE,Ag,ligand51-0 ligand2033-0
WEFZAJ,Pd,ligand384-0 ligand30933-0
GOZXUQ,Fe,ligand4-0 ligand45-0 ligand51-0 ligand23983-0
EBAVUA,Zn,ligand10127-0 ligand10127-0 ligand10128-0
WOHJUB,Ru,ligand13-0 ligand5537-0 ligand20663-0
GAGVIV,Zn,ligand34-0 ligand34-0 ligand5068-0 ligand5069-0
HEDDID,Rh,ligand250-0 ligand1154-0 ligand18164-1
HISYAK,Pt,ligand1-0 ligand4370-0
BUKTIL,Au,ligand105-0 ligand9607-0
ODUFOK,Au,ligand3-0 ligand2253-0
ZABFEN,Pd,ligand1-0 ligand188-0 ligand31678-0
SARQEJ,Os,ligand1-0 ligand1-0 ligand1-0 ligand16-0 ligand5537-0 ligand5537-0
VEGNAZ,Pd,ligand40-0 ligand51-0 ligand51-0 ligand12163-0
IKOJOI,Zr,ligand1-0 ligand1-0 ligand28026-0 ligand28026-0
EJAPUA,Pt,ligand40-0 ligand40-0 ligand724-0
COFDUX,Rh,ligand40-0 ligand40-0 ligand49-0 ligand49-0 ligand29823-0
RAJXUX,Pd,ligand142-0 ligand142-0 ligand2795-0 ligand2795-0
ALANCO,Co,ligand2583-0 ligand2583-0 ligand2583-0
UWIXII,Ni,ligand17685-0 ligand17685-0
NEDHAG,Os,ligand45-0 ligand89-0 ligand250-0 ligand1245-0
NEDFOT,Zn,ligand34-0 ligand34-0 ligand13968-0 ligand13968-0
UDETAB,Pd,ligand1-0 ligand1264-0 ligand13244-0
YIFLEH,Pd,ligand5911-0
GODNUK,Au,ligand1-0 ligand18375-0
ICOREY,Rh,ligand141-0 ligand141-0 ligand533-0
TICPED,Au,ligand206-0 ligand20120-0
FEHTUH,Fe,ligand4-0 ligand45-0 ligand51-0 ligand6401-0
YANPIO,Au,ligand447-0 ligand5179-0
FAWYEH,Pt,ligand1-0 ligand1-0 ligand3514-0
ZUNVOT,Ir,ligand4-0 ligand51-0 ligand89-0 ligand670-0
ACOSEU,Co,ligand11-0 ligand11-0 ligand11-0
FIVLAA,Ni,ligand25583-0 ligand25583-0
MOCFUH,Au,ligand1-0 ligand1-0 ligand1-0 ligand18359-0
QITTOE,Zn,ligand196-0 ligand11677-0
SOHFUR,Cu,ligand294-0 ligand785-0 ligand3484-0
LARWEH,Ir,ligand11-0 ligand854-0 ligand854-0
YUBNOY,Nb,ligand45-0 ligand45-0 ligand89-0 ligand89-0 ligand23336-0
BOYDOI,Fe,ligand34-0 ligand34-0 ligand279-0 ligand279-0 ligand1609-0 ligand1609-0
GAMMAK,Zn,ligand2208-0 ligand6541-0
NOMCAT,Re,ligand1-0 ligand24-0 ligand8661-0
YUNQAA,W,ligand4-0 ligand4-0 ligand4-0 ligand4-0 ligand4-0 ligand20825-0
OJUYID,Ru,ligand1-0 ligand13-0 ligand10359-0
BEWQEC,Ni,ligand49-0 ligand2469-0 ligand29494-0
GERBIO,Pt,ligand1-0 ligand1-0 ligand10895-0 ligand10895-0
ULONOY,Ti,ligand1-0 ligand1-0 ligand1-0 ligand3416-0
VOZMUS,Cr,ligand4-0 ligand4-0 ligand4-0 ligand4-0 ligand4-0 ligand244-0
SEMPAB,Zn,ligand2425-0
LOSLEK,Zn,ligand719-0 ligand19186-0
OTIDEB,Ti,ligand409-0 ligand416-0 ligand416-0 ligand1495-0
WEDKAS,Cu,ligand49-0 ligand49-0 ligand4007-0
SIJBES,Cd,ligand600-0 ligand4758-0
LERZOY,Zn,ligand30003-0
NENMAU,Zn,ligand29046-0 ligand29046-0
BATNOA,Pt,ligand1-0 ligand1-0 ligand6451-0
PUJRET,Pt,ligand86-0 ligand1588-0 ligand4388-0
HOHGEQ,Hf,ligand48-0 ligand48-0 ligand353-0 ligand353-0
FIHTOH,Ni,ligand1-0 ligand2864-0
YEBWUX,Rh,ligand3-0 ligand38-0 ligand48-0 ligand2364-0
NUXSEG,Rh,ligand485-0 ligand744-0
JAMNOD,Zn,ligand73-0 ligand73-0 ligand9121-0 ligand9121-0
WABRID,Ag,ligand504-0 ligand11083-0
MUDMAA,Zn,ligand28380-0 ligand28380-0
GOFTEC,Pt,ligand1-0 ligand1-0 ligand12495-0
ALAGIE,Rh,ligand1-0 ligand193-0 ligand10935-0
NIKPOM,Re,ligand24-0 ligand9420-0 ligand9421-0
AHOCIL,Pd,ligand1-0 ligand1-0 ligand11058-0 ligand11058-0
SEJGAQ,Ti,ligand1-0 ligand1-0 ligand933-0
FULXIU,Pd,ligand55-0 ligand170-0
QEDGIP,Pd,ligand3-0 ligand3-0 ligand5012-0
REDYIL,Pd,ligand1-0 ligand1-0 ligand28505-0
AZEGIV,Au,ligand1319-0
KEKKUG,Rh,ligand1-0 ligand193-0 ligand7046-0
WAGFUI,Cu,ligand311-0 ligand9913-0
NOXMIY,Rh,ligand92-0 ligand193-0
GIDKUB,Pt,ligand14621-0
JIKNEW,Pd,ligand3-0 ligand38-0 ligand38-0 ligand358-0
FIYMOP,Co,ligand4-0 ligand4-0 ligand38-0 ligand38-0 ligand38-0
GERYIO,Pd,ligand3355-0 ligand3355-0
DUHJUN,Pd,ligand1-0 ligand1-0 ligand1202-0
QUNKAM,Ti,ligand1-0 ligand1-0 ligand30412-0 ligand30412-0
ILEXII,Ru,ligand197-0 ligand12290-0
XIXVEH,Pt,ligand11-0 ligand8677-0
MIVQOX,Ni,ligand18-0 ligand49-0 ligand15682-0
