,cluster,set_median_graph_index,set_median_graph_pattern_id
10,10,1830,(w11-gp(w15-gp(w4-gp(w1-gp(w15-gp(w4-gp(w11-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp79-num1)-tp13-num1)-tp13-num1)-tp13-num1)-tp13-num1)-tp4-num1)-tp4-num2)-tp4-num1)
11,11,1882,(w12-gp(w11-gp(w12-gp(w11-gp(w15-gp(w4-gp(w11-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp79-num1)-tp13-num1)-tp13-num1)-tp4-num1)-tp13-num1)-tp13-num1)-tp10-num1)-tp4-num2)
12,12,1820,(w11-gp(w14-gp(w10-gp(w1-gp(w15-gp(w4-gp(w11-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp79-num1)-tp13-num1)-tp13-num1)-tp13-num1)-tp21-num1)-tp4-num1)-tp4-num2)-tp4-num1)
13,13,2951,(w12-gp(w11-gp(w8-gp(w1-gp(w3-gp(w5-gp(w13-gp(w14-gp(w14-gp(w12-gp(w1-gp27-tp13-num1)-tp13-num1)-tp284-num1)-tp13-num1)-tp13-num1)-tp13-num1)-tp13-num1)-tp10-num1)-tp79-num1)-tp4-num1)-tp4-num1)
14,14,3308,(w3-gp(w4-gp(w4-gp(w10-gp(w7-gp(w4-gp(w6-gp(w9-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp1-num1)-tp13-num1)-tp13-num1)-tp13-num1)-tp10-num1)-tp4-num1)-tp4-num3)-tp4-num1)-tp4-num1)
15,15,2438,(w6-gp(w2-gp(w14-gp(w14-gp(w13-gp(w12-gp(w6-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp99-num1)-tp13-num1)-tp13-num1)-tp284-num1)-tp13-num1)-tp13-num1)-tp4-num1)-tp4-num1)
16,16,1680,(w1-gp(w9-gp(w2-gp(w10-gp(w4-gp(w6-gp(w9-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp1-num1)-tp13-num1)-tp13-num1)-tp4-num1)-tp13-num1)-tp13-num1)-tp4-num1)-tp10-num1)
17,17,3286,(w3-gp(w13-gp(w14-gp(w10-gp(w1-gp(w15-gp(w4-gp(w11-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp79-num1)-tp13-num1)-tp13-num1)-tp13-num1)-tp21-num1)-tp4-num1)-tp4-num1)-tp4-num1)-tp4-num1)
18,18,2346,(w5-gp(w1-gp(w13-gp(w10-gp(w15-gp(w4-gp(w11-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp79-num1)-tp13-num1)-tp10-num1)-tp13-num1)-tp13-num1)-tp79-num1)-tp4-num1)-tp4-num1)
19,19,3390,(w4-gp(w6-gp(w8-gp(w8-gp(w1-gp(w15-gp(w4-gp(w11-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp79-num1)-tp13-num1)-tp13-num1)-tp13-num1)-tp10-num1)-tp4-num1)-tp4-num1)-tp4-num1)-tp4-num1)
20,20,1665,(w1-gp(w5-gp(w2-gp(w13-gp(w6-gp(w6-gp(w9-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp1-num1)-tp13-num1)-tp10-num1)-tp4-num1)-tp10-num1)-tp10-num1)-tp10-num1)-tp4-num1)
21,21,1681,(w1-gp(w9-gp(w2-gp(w10-gp(w4-gp(w6-gp(w9-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp1-num1)-tp13-num1)-tp13-num1)-tp4-num1)-tp13-num1)-tp13-num1)-tp4-num1)-tp4-num1)
22,22,141,(w1-gp(w9-gp(w15-gp(w14-gp(w10-gp(w4-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp284-num1)-tp13-num1)-tp13-num1)-tp4-num1)-tp13-num1)-tp13-num1)-tp4-num1)
23,23,1846,(w11-gp(w5-gp(w14-gp(w2-gp(w14-gp(w10-gp(w4-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp284-num1)-tp13-num1)-tp13-num1)-tp13-num1)-tp13-num1)-tp4-num1)-tp4-num3)-tp4-num1)
24,24,250,(w10-gp(w5-gp(w4-gp(w14-gp(w3-gp(w10-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp19-num1)-tp13-num1)-tp13-num1)-tp4-num2)-tp13-num1)-tp10-num1)-tp7-num1)
25,25,2054,(w14-gp(w4-gp(w14-gp(w10-gp(w4-gp(w6-gp(w9-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp1-num1)-tp13-num1)-tp13-num1)-tp4-num1)-tp21-num1)-tp13-num1)-tp4-num1)-tp4-num1)
26,26,1683,(w1-gp(w9-gp(w2-gp(w13-gp(w6-gp(w6-gp(w9-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp1-num1)-tp13-num1)-tp10-num1)-tp4-num1)-tp10-num1)-tp13-num1)-tp10-num2)-tp10-num1)
27,27,3376,(w4-gp(w3-gp(w8-gp(w1-gp(w3-gp(w5-gp(w13-gp(w14-gp(w14-gp(w12-gp(w1-gp27-tp13-num1)-tp13-num1)-tp284-num1)-tp13-num1)-tp13-num1)-tp13-num1)-tp13-num1)-tp10-num1)-tp1-num1)-tp4-num1)-tp4-num1)
28,28,15,(w1-gp(w10-gp(w7-gp(w4-gp(w6-gp(w9-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp1-num1)-tp13-num1)-tp13-num1)-tp13-num1)-tp10-num1)-tp13-num1)-tp10-num1)
29,29,721,(w15-gp(w7-gp(w15-gp(w13-gp(w12-gp(w6-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp99-num1)-tp13-num1)-tp13-num1)-tp13-num1)-tp10-num1)-tp13-num1)-tp4-num1)
30,30,1010,(w4-gp(w13-gp(w10-gp(w14-gp(w8-gp(w1-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp40-num1)-tp13-num1)-tp10-num1)-tp10-num1)-tp10-num1)-tp10-num1)-tp1-num1)
31,31,1648,(w1-gp(w3-gp(w8-gp(w1-gp(w15-gp(w4-gp(w11-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp79-num1)-tp13-num1)-tp13-num1)-tp13-num1)-tp10-num1)-tp13-num1)-tp10-num1)-tp4-num1)
32,32,2178,(w2-gp(w14-gp(w4-gp(w9-gp(w6-gp(w6-gp(w9-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp1-num1)-tp13-num1)-tp10-num1)-tp13-num1)-tp13-num1)-tp13-num1)-tp10-num1)-tp4-num1)
33,33,1855,(w11-gp(w8-gp(w1-gp(w3-gp(w5-gp(w13-gp(w14-gp(w14-gp(w12-gp(w1-gp27-tp13-num1)-tp13-num1)-tp284-num1)-tp13-num1)-tp13-num1)-tp13-num1)-tp13-num1)-tp10-num1)-tp79-num1)-tp4-num1)
34,34,1036,(w4-gp(w15-gp(w2-gp(w6-gp(w6-gp(w9-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp1-num1)-tp13-num1)-tp10-num1)-tp10-num1)-tp10-num1)-tp10-num1)-tp10-num1)
35,35,1121,(w5-gp(w14-gp(w2-gp(w14-gp(w10-gp(w4-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp284-num1)-tp13-num1)-tp13-num1)-tp13-num1)-tp13-num1)-tp4-num1)-tp4-num3)
36,36,2373,(w5-gp(w15-gp(w8-gp(w4-gp(w13-gp(w12-gp(w6-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp99-num1)-tp13-num1)-tp13-num1)-tp4-num1)-tp13-num1)-tp13-num1)-tp4-num1)-tp4-num1)
37,37,2024,(w14-gp(w11-gp(w13-gp(w10-gp(w2-gp(w1-gp(w8-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp36-num1)-tp13-num1)-tp10-num1)-tp13-num1)-tp13-num1)-tp4-num1)-tp36-num1)-tp4-num1)
38,38,1865,(w11-gp(w9-gp(w3-gp(w7-gp(w4-gp(w6-gp(w9-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp1-num1)-tp13-num1)-tp13-num1)-tp13-num1)-tp13-num1)-tp4-num1)-tp10-num1)-tp4-num2)
39,39,263,(w10-gp(w8-gp(w12-gp(w4-gp(w12-gp(w6-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp99-num1)-tp13-num1)-tp10-num1)-tp13-num1)-tp13-num1)-tp13-num1)-tp10-num1)
40,40,1435,(w8-gp(w15-gp(w2-gp(w6-gp(w6-gp(w9-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp1-num1)-tp13-num1)-tp10-num1)-tp10-num1)-tp10-num1)-tp13-num1)-tp10-num1)
41,41,3024,(w13-gp(w15-gp(w14-gp(w7-gp(w9-gp(w14-gp(w3-gp(w10-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp19-num1)-tp13-num1)-tp13-num1)-tp4-num1)-tp13-num1)-tp10-num1)-tp36-num1)-tp4-num1)-tp4-num1)
42,42,240,(w10-gp(w4-gp(w7-gp(w15-gp(w4-gp(w11-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp79-num1)-tp13-num1)-tp13-num1)-tp10-num1)-tp13-num1)-tp13-num1)-tp10-num1)
43,43,935,(w3-gp(w6-gp(w13-gp(w11-gp(w7-gp(w10-gp(w6-gp(w12-gp(w1-gp27-tp13-num1)-tp4-num1)-tp525-num1)-tp13-num1)-tp13-num1)-tp4-num1)-tp10-num1)-tp13-num1)-tp10-num1)
44,44,2304,(w4-gp(w12-gp(w7-gp(w13-gp(w9-gp(w10-gp(w10-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp7-num1)-tp13-num1)-tp13-num1)-tp13-num1)-tp10-num1)-tp4-num1)-tp239-num1)-tp4-num1)
45,45,687,(w15-gp(w13-gp(w9-gp(w8-gp(w10-gp(w14-gp(w6-gp(w12-gp(w1-gp27-tp13-num1)-tp4-num1)-tp239-num1)-tp13-num1)-tp13-num1)-tp4-num1)-tp13-num1)-tp10-num1)-tp79-num1)
46,46,1812,(w11-gp(w12-gp(w7-gp(w14-gp(w1-gp(w1-gp(w8-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp36-num1)-tp13-num1)-tp13-num1)-tp4-num1)-tp10-num1)-tp13-num1)-tp4-num1)-tp4-num1)
47,47,610,(w14-gp(w14-gp(w14-gp(w15-gp(w9-gp(w6-gp(w13-gp(w5-gp(w1-gp27-tp16-num1)-tp16-num1)-tp55-num1)-tp13-num1)-tp13-num1)-tp13-num1)-tp13-num1)-tp4-num1)-tp4-num2)
48,48,1909,(w12-gp(w4-gp(w13-gp(w10-gp(w14-gp(w8-gp(w1-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp40-num1)-tp13-num1)-tp10-num1)-tp10-num1)-tp10-num1)-tp10-num1)-tp10-num1)-tp4-num1)
49,49,11,(w1-gp(w10-gp(w4-gp(w6-gp(w7-gp(w7-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp6-num1)-tp13-num1)-tp13-num1)-tp4-num2)-tp19-num1)-tp13-num1)-tp10-num1)
50,50,2925,(w11-gp(w6-gp(w3-gp(w12-gp(w3-gp(w7-gp(w12-gp(w13-gp(w13-gp(w5-gp(w1-gp27-tp16-num1)-tp16-num1)-tp149-num1)-tp13-num1)-tp13-num1)-tp13-num1)-tp13-num1)-tp10-num1)-tp134-num1)-tp4-num1)-tp4-num2)
51,51,52,(w1-gp(w14-gp(w2-gp(w12-gp(w10-gp(w10-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp7-num1)-tp13-num1)-tp284-num1)-tp10-num1)-tp13-num1)-tp13-num1)-tp4-num1)
52,52,2340,(w4-gp(w8-gp(w1-gp(w3-gp(w5-gp(w13-gp(w14-gp(w14-gp(w12-gp(w1-gp27-tp13-num1)-tp13-num1)-tp284-num1)-tp13-num1)-tp13-num1)-tp13-num1)-tp13-num1)-tp10-num1)-tp99-num1)-tp4-num1)
53,53,2122,(w15-gp(w7-gp(w8-gp(w13-gp(w13-gp(w12-gp(w6-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp99-num1)-tp13-num1)-tp13-num1)-tp10-num1)-tp13-num1)-tp13-num1)-tp10-num1)-tp4-num1)
54,54,1175,(w6-gp(w10-gp(w1-gp(w15-gp(w4-gp(w11-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp79-num1)-tp13-num1)-tp13-num1)-tp13-num1)-tp21-num1)-tp13-num1)-tp10-num1)
55,55,249,(w10-gp(w5-gp(w4-gp(w14-gp(w3-gp(w10-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp19-num1)-tp13-num1)-tp13-num1)-tp4-num2)-tp13-num1)-tp10-num1)-tp134-num1)
56,56,2275,(w3-gp(w8-gp(w1-gp(w3-gp(w5-gp(w13-gp(w14-gp(w14-gp(w12-gp(w1-gp27-tp13-num1)-tp13-num1)-tp284-num1)-tp13-num1)-tp13-num1)-tp13-num1)-tp13-num1)-tp10-num1)-tp1-num1)-tp4-num1)
57,57,1270,(w6-gp(w8-gp(w4-gp(w5-gp(w15-gp(w12-gp(w6-gp(w12-gp(w1-gp27-tp13-num1)-tp4-num1)-tp55-num1)-tp13-num1)-tp13-num1)-tp4-num1)-tp13-num1)-tp10-num1)-tp7-num1)
58,58,1553,(w9-gp(w2-gp(w10-gp(w4-gp(w6-gp(w9-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp1-num1)-tp13-num1)-tp13-num1)-tp4-num1)-tp13-num1)-tp13-num1)-tp4-num1)
59,59,2614,(w8-gp(w8-gp(w8-gp(w1-gp(w15-gp(w4-gp(w11-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp79-num1)-tp13-num1)-tp13-num1)-tp13-num1)-tp10-num1)-tp4-num1)-tp3810-num1)-tp4-num1)
60,60,2640,(w9-gp(w12-gp(w7-gp(w13-gp(w9-gp(w10-gp(w10-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp7-num1)-tp13-num1)-tp13-num1)-tp13-num1)-tp10-num1)-tp4-num1)-tp491-num1)-tp4-num1)
61,61,6,(w1-gp(w1-gp(w7-gp(w14-gp(w10-gp(w4-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp284-num1)-tp13-num1)-tp13-num1)-tp4-num2)-tp10-num1)-tp10-num1)-tp1-num1)
62,62,1845,(w11-gp(w5-gp(w14-gp(w2-gp(w14-gp(w10-gp(w4-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp284-num1)-tp13-num1)-tp13-num1)-tp13-num1)-tp13-num1)-tp4-num1)-tp4-num3)-tp10-num1)
63,63,993,(w4-gp(w11-gp(w10-gp(w10-gp(w10-gp(w10-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp7-num1)-tp13-num1)-tp10-num1)-tp13-num1)-tp21-num1)-tp4-num1)-tp55-num1)
64,64,2706,(w1-gp(w1-gp(w10-gp(w10-gp(w10-gp(w6-gp(w7-gp(w7-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp6-num1)-tp13-num1)-tp13-num1)-tp13-num1)-tp21-num1)-tp4-num1)-tp4-num2)-tp10-num1)-tp4-num1)
65,65,1045,(w4-gp(w2-gp(w15-gp(w13-gp(w12-gp(w6-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp99-num1)-tp13-num1)-tp13-num1)-tp13-num1)-tp21-num1)-tp13-num1)-tp4-num1)
66,66,727,(w15-gp(w8-gp(w4-gp(w13-gp(w12-gp(w6-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp99-num1)-tp13-num1)-tp13-num1)-tp4-num1)-tp13-num1)-tp13-num1)-tp4-num1)
67,67,372,(w12-gp(w11-gp(w10-gp(w10-gp(w10-gp(w10-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp7-num1)-tp13-num1)-tp10-num1)-tp4-num1)-tp13-num1)-tp10-num1)-tp10-num1)
68,68,1142,(w5-gp(w3-gp(w7-gp(w4-gp(w6-gp(w9-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp1-num1)-tp13-num1)-tp13-num1)-tp13-num1)-tp13-num1)-tp13-num1)-tp10-num1)
69,69,2664,(w9-gp(w3-gp(w11-gp(w13-gp(w12-gp(w12-gp(w12-gp(w11-gp(w5-gp(w1-gp27-tp16-num1)-tp239-num1)-tp13-num1)-tp13-num1)-tp4-num1)-tp13-num1)-tp13-num1)-tp10-num1)-tp7-num1)-tp4-num1)
70,70,452,(w12-gp(w7-gp(w13-gp(w9-gp(w10-gp(w10-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp7-num1)-tp13-num1)-tp13-num1)-tp13-num1)-tp10-num1)-tp4-num1)-tp755-num1)
71,71,2723,(w1-gp(w12-gp(w5-gp(w15-gp(w2-gp(w6-gp(w6-gp(w9-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp1-num1)-tp13-num1)-tp10-num1)-tp10-num1)-tp10-num1)-tp1-num1)-tp1-num1)-tp10-num1)-tp10-num1)
72,72,2747,(w1-gp(w2-gp(w15-gp(w4-gp(w1-gp(w15-gp(w4-gp(w11-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp79-num1)-tp13-num1)-tp13-num1)-tp13-num1)-tp13-num1)-tp4-num1)-tp4-num1)-tp4-num1)-tp4-num1)
73,73,811,(w2-gp(w6-gp(w15-gp(w13-gp(w12-gp(w6-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp99-num1)-tp13-num1)-tp13-num1)-tp13-num1)-tp13-num1)-tp13-num1)-tp10-num1)
74,74,1139,(w5-gp(w2-gp(w13-gp(w6-gp(w6-gp(w9-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp1-num1)-tp13-num1)-tp10-num1)-tp4-num1)-tp10-num1)-tp10-num1)-tp10-num1)
75,75,315,(w11-gp(w12-gp(w11-gp(w15-gp(w4-gp(w11-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp79-num1)-tp13-num1)-tp13-num1)-tp4-num1)-tp13-num1)-tp13-num1)-tp4-num1)
76,76,3603,(w8-gp(w13-gp(w5-gp(w14-gp(w2-gp(w14-gp(w10-gp(w4-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp284-num1)-tp13-num1)-tp13-num1)-tp13-num1)-tp13-num1)-tp4-num1)-tp4-num1)-tp10-num1)-tp1-num1)
77,77,756,(w2-gp(w12-gp(w14-gp(w9-gp(w10-gp(w10-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp7-num1)-tp13-num1)-tp13-num1)-tp4-num2)-tp10-num1)-tp284-num1)-tp16-num1)
78,78,1137,(w5-gp(w2-gp(w10-gp(w4-gp(w6-gp(w9-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp1-num1)-tp13-num1)-tp13-num1)-tp4-num1)-tp13-num1)-tp16-num1)-tp10-num1)
79,79,1201,(w6-gp(w15-gp(w2-gp(w6-gp(w6-gp(w9-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp1-num1)-tp13-num1)-tp10-num1)-tp10-num1)-tp1-num1)-tp21-num1)-tp1-num1)
80,80,241,(w10-gp(w4-gp(w7-gp(w15-gp(w4-gp(w11-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp79-num1)-tp13-num1)-tp13-num1)-tp10-num1)-tp13-num1)-tp13-num1)-tp4-num1)
81,81,1202,(w6-gp(w15-gp(w2-gp(w6-gp(w6-gp(w9-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp1-num1)-tp13-num1)-tp10-num1)-tp10-num1)-tp1-num1)-tp21-num1)-tp10-num1)
82,82,1974,(w13-gp(w15-gp(w8-gp(w4-gp(w13-gp(w12-gp(w6-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp99-num1)-tp13-num1)-tp13-num1)-tp4-num1)-tp13-num1)-tp13-num1)-tp10-num1)-tp4-num1)
83,83,1565,(w9-gp(w4-gp(w11-gp(w1-gp(w1-gp(w8-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp36-num1)-tp13-num1)-tp13-num1)-tp4-num2)-tp13-num1)-tp10-num1)-tp79-num1)
84,84,1728,(w10-gp(w14-gp(w1-gp(w1-gp(w13-gp(w12-gp(w6-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp99-num1)-tp13-num1)-tp13-num1)-tp4-num2)-tp284-num1)-tp13-num1)-tp16-num1)-tp10-num1)
85,85,1760,(w10-gp(w3-gp(w8-gp(w1-gp(w15-gp(w4-gp(w11-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp79-num1)-tp13-num1)-tp13-num1)-tp13-num1)-tp10-num1)-tp13-num1)-tp4-num1)-tp4-num1)
86,86,2749,(w1-gp(w3-gp(w10-gp(w6-gp(w3-gp(w15-gp(w3-gp(w10-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp64-num1)-tp13-num1)-tp13-num1)-tp13-num1)-tp10-num1)-tp19-num1)-tp4-num1)-tp4-num1)-tp4-num1)
87,87,2558,(w8-gp(w11-gp(w7-gp(w10-gp(w4-gp(w6-gp(w9-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp1-num1)-tp13-num1)-tp13-num1)-tp4-num1)-tp10-num1)-tp16-num1)-tp10-num1)-tp4-num1)
88,88,1721,(w10-gp(w13-gp(w10-gp(w1-gp(w13-gp(w12-gp(w6-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp99-num1)-tp13-num1)-tp13-num1)-tp4-num2)-tp13-num1)-tp40-num1)-tp16-num1)-tp10-num1)
89,89,0,(w1-gp(w1-gp(w1-gp(w11-gp(w7-gp(w10-gp(w6-gp(w12-gp(w1-gp27-tp13-num1)-tp4-num1)-tp525-num1)-tp13-num1)-tp13-num1)-tp13-num1)-tp10-num1)-tp21-num1)-tp4-num1)
90,90,331,(w11-gp(w13-gp(w8-gp(w9-gp(w12-gp(w3-gp(w6-gp(w12-gp(w1-gp27-tp13-num1)-tp4-num1)-tp221-num1)-tp21-num1)-tp13-num1)-tp4-num1)-tp13-num1)-tp13-num1)-tp10-num1)
91,91,2072,(w14-gp(w9-gp(w5-gp(w14-gp(w13-gp(w12-gp(w6-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp99-num1)-tp13-num1)-tp13-num1)-tp284-num1)-tp4-num1)-tp13-num1)-tp10-num1)-tp4-num1)
92,92,175,(w10-gp(w11-gp(w10-gp(w10-gp(w10-gp(w10-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp7-num1)-tp13-num1)-tp10-num1)-tp4-num1)-tp13-num1)-tp16-num1)-tp10-num1)
93,93,956,(w3-gp(w9-gp(w3-gp(w8-gp(w9-gp(w14-gp(w6-gp(w12-gp(w1-gp27-tp13-num1)-tp4-num1)-tp77-num1)-tp13-num1)-tp13-num1)-tp4-num1)-tp10-num1)-tp10-num1)-tp1-num1)
94,94,1772,(w10-gp(w7-gp(w1-gp(w12-gp(w3-gp(w11-gp(w3-gp(w1-gp(w5-gp(w1-gp27-tp16-num1)-tp4-num1)-tp77-num1)-tp13-num1)-tp13-num1)-tp10-num1)-tp10-num1)-tp10-num1)-tp1-num1)-tp4-num1)
